ticks	cbeat	notes	voices
0	0	2	2
8	0.166667	2	2
16	0.333333	4	2
24	0.5	2	1
32	0.666667	2	1
36	0.75	1	1
40	0.833333	1	1
48	1	3	3
51	1.0625	1	1
54	1.125	1	1
56	1.16667	1	1
57	1.1875	1	1
60	1.25	2	2
63	1.3125	1	1
64	1.33333	2	1
66	1.375	1	1
69	1.4375	1	1
72	1.5	2	2
80	1.66667	1	1
84	1.75	1	1
88	1.83333	2	1
96	2	2	2
104	2.16667	1	1
112	2.33333	2	1
120	2.5	1	1
128	2.66667	1	1
132	2.75	1	1
136	2.83333	2	1
144	3	3	3
147	3.0625	1	1
150	3.125	1	1
152	3.16667	1	1
153	3.1875	1	1
156	3.25	2	2
159	3.3125	1	1
160	3.33333	2	1
162	3.375	1	1
165	3.4375	1	1
168	3.5	2	2
176	3.66667	1	1
180	3.75	1	1
184	3.83333	2	1
