measure	notesA	position	notesB	category
1	2	0	0	3
1	2	8	0	3
1	4	16	0	3
1	2	24	0	3
1	2	32	0	3
1	1	36	0	3
1	1	40	0	3
2	2	48	1	3
2	0	51	1	3
2	0	54	1	3
2	1	56	0	3
2	0	57	1	3
2	1	60	1	3
2	0	63	1	3
2	2	64	0	3
2	0	66	1	3
2	0	69	1	3
2	2	72	0	3
2	1	80	0	3
2	1	84	0	3
2	2	88	0	3
3	2	96	0	3
3	1	104	0	3
3	2	112	0	3
3	1	120	0	3
3	1	128	0	3
3	1	132	0	3
3	2	136	0	3
4	2	144	1	3
4	0	147	1	3
4	0	150	1	3
4	1	152	0	3
4	0	153	1	3
4	1	156	1	3
4	0	159	1	3
4	2	160	0	3
4	0	162	1	3
4	0	165	1	3
4	2	168	0	3
4	1	176	0	3
4	1	180	0	3
4	2	184	0	3
1	2	0	0	1
1	1	8	0	1
2	2	48	0	1
2	1	72	0	1
3	2	96	0	1
3	1	120	0	1
4	2	144	0	1
4	1	168	0	1
1	1	8	0	2
1	1	16	0	2
1	1	24	0	2
1	1	32	0	2
2	1	56	0	2
2	1	64	0	2
2	1	80	0	2
2	1	88	0	2
3	1	104	0	2
3	1	112	0	2
3	1	128	0	2
3	1	136	0	2
4	1	152	0	2
4	1	160	0	2
4	1	176	0	2
4	1	184	0	2
