Measure	Notes	Position	Category	Group
1	2	0	3	A
1	2	8	3	A
1	4	16	3	A
1	2	24	3	A
1	2	32	3	A
1	1	36	3	A
1	1	40	3	A
2	2	48	3	A
2	0	51	3	A
2	0	54	3	A
2	1	56	3	A
2	0	57	3	A
2	1	60	3	A
2	0	63	3	A
2	2	64	3	A
2	0	66	3	A
2	0	69	3	A
2	2	72	3	A
2	1	80	3	A
2	1	84	3	A
2	2	88	3	A
3	2	96	3	A
3	1	104	3	A
3	2	112	3	A
3	1	120	3	A
3	1	128	3	A
3	1	132	3	A
3	2	136	3	A
4	2	144	3	A
4	0	147	3	A
4	0	150	3	A
4	1	152	3	A
4	0	153	3	A
4	1	156	3	A
4	0	159	3	A
4	2	160	3	A
4	0	162	3	A
4	0	165	3	A
4	2	168	3	A
4	1	176	3	A
4	1	180	3	A
4	2	184	3	A
1	2	0	1	A
1	1	8	1	A
2	2	48	1	A
2	1	72	1	A
3	2	96	1	A
3	1	120	1	A
4	2	144	1	A
4	1	168	1	A
1	1	8	2	A
1	1	16	2	A
1	1	24	2	A
1	1	32	2	A
2	1	56	2	A
2	1	64	2	A
2	1	80	2	A
2	1	88	2	A
3	1	104	2	A
3	1	112	2	A
3	1	128	2	A
3	1	136	2	A
4	1	152	2	A
4	1	160	2	A
4	1	176	2	A
4	1	184	2	A
1	0	0	3	B
1	0	8	3	B
1	0	16	3	B
1	0	24	3	B
1	0	32	3	B
1	0	36	3	B
1	0	40	3	B
2	1	48	3	B
2	1	51	3	B
2	1	54	3	B
2	0	56	3	B
2	1	57	3	B
2	1	60	3	B
2	1	63	3	B
2	0	64	3	B
2	1	66	3	B
2	1	69	3	B
2	0	72	3	B
2	0	80	3	B
2	0	84	3	B
2	0	88	3	B
3	0	96	3	B
3	0	104	3	B
3	0	112	3	B
3	0	120	3	B
3	0	128	3	B
3	0	132	3	B
3	0	136	3	B
4	1	144	3	B
4	1	147	3	B
4	1	150	3	B
4	0	152	3	B
4	1	153	3	B
4	1	156	3	B
4	1	159	3	B
4	0	160	3	B
4	1	162	3	B
4	1	165	3	B
4	0	168	3	B
4	0	176	3	B
4	0	180	3	B
4	0	184	3	B
1	0	0	1	B
1	0	8	1	B
2	0	48	1	B
2	0	72	1	B
3	0	96	1	B
3	0	120	1	B
4	0	144	1	B
4	0	168	1	B
1	0	8	2	B
1	0	16	2	B
1	0	24	2	B
1	0	32	2	B
2	0	56	2	B
2	0	64	2	B
2	0	80	2	B
2	0	88	2	B
3	0	104	2	B
3	0	112	2	B
3	0	128	2	B
3	0	136	2	B
4	0	152	2	B
4	0	160	2	B
4	0	176	2	B
4	0	184	2	B
