cat	notes	position
group1	2	0
group1	2	8
group1	4	16
group1	2	24
group1	2	32
group1	1	36
group1	1	40
group1	2	48
group1	0	51
group1	0	54
group1	1	56
group1	0	57
group1	1	60
group1	0	63
group1	2	64
group1	0	66
group1	0	69
group1	2	72
group1	1	80
group1	1	84
group1	2	88
group1	2	96
group1	1	104
group1	2	112
group1	1	120
group1	1	128
group1	1	132
group1	2	136
group1	2	144
group1	0	147
group1	0	150
group1	1	152
group1	0	153
group1	1	156
group1	0	159
group1	2	160
group1	0	162
group1	0	165
group1	2	168
group1	1	176
group1	1	180
group1	2	184
group2	0	0
group2	0	8
group2	0	16
group2	0	24
group2	0	32
group2	0	36
group2	0	40
group2	1	48
group2	1	51
group2	1	54
group2	0	56
group2	1	57
group2	1	60
group2	1	63
group2	0	64
group2	1	66
group2	1	69
group2	0	72
group2	0	80
group2	0	84
group2	0	88
group2	0	96
group2	0	104
group2	0	112
group2	0	120
group2	0	128
group2	0	132
group2	0	136
group2	1	144
group2	1	147
group2	1	150
group2	0	152
group2	1	153
group2	1	156
group2	1	159
group2	0	160
group2	1	162
group2	1	165
group2	0	168
group2	0	176
group2	0	180
group2	0	184
