ticks	cbeat	notes	voices
!!!COM:	Falla
!!!OTL:	310_Fal-3/15/1-8
**atick	**absb	**p#	**v#	**kern	**kern	**dynam
*	*	*	*	*part1	*part1	*part1
*	*	*	*	*staff2	*staff1	*
*	*	*	*	*I"Piano	*	*
*	*	*	*	*I'Pno.	*	*
*	*	*	*	*clefF4	*clefF4	*
*	*	*	*	*k[f#c#g#d#a#e#]	*k[f#c#g#d#a#e#]	*
*	*	*	*	*F#:	*F#:	*
*	*	*	*	*M3/8	*M3/8	*
=1	=1	=1	=1	=1	=1	=1
0	0	0	0	4.r	8r	.
6	0.5	0	0	.	8r	.
12	1	1	1	.	24c#LL	pp
14	1.16667	1	1	.	24F#	.
16	1.33333	1	1	.	24C#JJ	.
=2	=2	=2	=2	=2	=2	=2
*	*	*	*	*	*^	*
18	1.5	1	1	8r	8C#'L	8r	.
24	2	2	2	8r	8f#'	16f#LL	.
27	2.25	1	1	.	.	16A#	.
30	2.5	4	3	8c#' 8d#	8e#'J	16e#	.
33	2.75	1	1	.	.	16A#JJ	.
=3	=3	=3	=3	=3	=3	=3	=3
36	3	2	2	4.r	8f#'L	16f#LL	.
39	3.25	1	1	.	.	16A#	.
42	3.5	2	2	.	8d#'	16d#	.
45	3.75	1	1	.	.	16A#J	.
48	4	2	2	.	8c#'J	24c#L	.
50	4.16667	1	1	.	.	24c#	.
52	4.33333	1	1	.	.	24F#JJ	.
=4	=4	=4	=4	=4	=4	=4	=4
54	4.5	1	1	8r	8C#'L	8r	.
60	5	2	2	8r	8f#'	16f#LL	.
63	5.25	1	1	.	.	16A#	.
66	5.5	4	3	8c#' 8d#	8e#'J	16e#	.
69	5.75	1	1	.	.	16A#JJ	.
=5	=5	=5	=5	=5	=5	=5	=5
72	6	2	2	4.r	8f#'L	16f#LL	.
75	6.25	1	1	.	.	16A#	.
78	6.5	2	2	.	8d#'	16d#	.
81	6.75	1	1	.	.	16A#J	.
84	7	2	2	.	8c#'J	24c#L	.
86	7.16667	1	1	.	.	24c#	.
88	7.33333	1	1	.	.	24F#JJ	.
=6	=6	=6	=6	=6	=6	=6	=6
!!linebreak:original
90	7.5	1	1	8r	8C#'L	8r	.
96	8	2	2	8r	8f#'	16f#LL	<
99	8.25	1	1	.	.	16A#	.
102	8.5	4	3	8c#' 8d#	8e#'J	16e#	.
105	8.75	1	1	.	.	16A#JJ	.
=7	=7	=7	=7	=7	=7	=7	=7
108	9	2	2	8r	8f#'L	16f#LL	.
111	9.25	1	1	.	.	16A#	.
114	9.5	4	3	8c#' 8d#	8d#'	16d#	.
117	9.75	1	1	.	.	16A#	.
120	10	2	2	8r	8c#'J	16c#	.
123	10.25	1	1	.	.	16BJJ	.
=8	=8	=8	=8	=8	=8	=8	=8
126	10.5	4	3	8c#' 8d#	8f#'L	16f#LL	>
129	10.75	1	1	.	.	16A#	.
132	11	2	2	8r	8d#'	16d#	.
135	11.25	1	1	.	.	16A#	.
138	11.5	2	2	8r	8c#'J	16c#	.
141	11.75	1	1	.	.	16BJJ	.
=9	=9	=9	=9	=9	=9	=9	=9
144	12	2	2	4.r	8f#'L	16f#LL	]
147	12.25	1	1	.	.	16A#	.
150	12.5	2	2	.	8d#'	16d#	.
153	12.75	1	1	.	.	16A#J	.
156	13	2	2	.	8c#'J	24c#L	.
158	13.1667	1	1	.	.	24c#	.
160	13.3333	1	1	.	.	24F#JJ	.
*	*	*	*	*	*v	*v	*
==	==	==	==	==	==	==
*-	*-	*-	*-	*-	*-	*-
!!!system-decoration: {(s1,s2)}
