category	position	events
1	0	1
1	8	1
1	12	1
1	20	1
1	29	1
1	32	1
1	36	1
1	43	1
1	46	1
1	48	1
1	56	1
1	68	1
2	4	1
2	10	1
2	16	1
2	24	1
2	30	1
2	33	1
2	44	1
2	47	2
2	52	1
2	58	1
2	70	1
3	0	1
3	4	1
3	8	1
3	16	1
3	28	1
3	32	1
3	52	1
3	56	1
3	60	1
3	64	1
6	24	1
6	31	1
6	38	1
6	45	1
7	0	5
7	1	2
7	2	3
7	3	2
7	4	5
7	5	2
7	6	2
7	7	2
7	8	5
7	9	2
7	10	3
7	11	2
7	12	3
7	13	2
7	14	2
7	15	2
7	16	5
7	17	2
7	18	2
7	19	2
7	20	3
7	21	2
7	22	2
7	23	2
7	24	4
7	25	3
7	26	3
7	27	3
7	28	4
7	29	3
7	30	3
7	31	3
7	32	4
7	33	3
7	34	3
7	35	3
7	36	4
7	37	3
7	38	4
7	39	3
7	40	4
7	41	3
7	42	4
7	43	3
7	44	4
7	45	3
7	46	3
7	47	3
7	48	4
7	49	3
7	50	4
7	51	3
7	52	5
7	53	2
7	54	2
7	55	2
7	56	5
7	57	2
7	58	3
7	59	2
7	60	5
7	61	2
7	62	3
7	63	2
7	64	4
7	65	2
7	66	3
7	67	2
7	68	4
7	69	2
7	70	3
7	71	2
