line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur
18	1	1	0	1	4	53	0	0	0.333333	1	72	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	69	0.333333	1	0.333333	1
19	1	1	0	1	4	53	0.333333	1	0.333333	1	69	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0.333333	1	64	0.666667	2	0.333333	1
20	1	1	0	1	4	53	0.666667	2	0.333333	1	64	0	0	0	0	0	0	0	0	0	0	0	69	0.333333	1	0.333333	1	67	1	3	0.333333	1
21	1	1	0	1	4	53	1	3	0.333333	1	67	0	0	0	0	0	0	0	0	0	0	0	64	0.666667	2	0.333333	1	71	1.33333	4	0.333333	1
22	1	1	0	1	4	53	1.33333	4	0.333333	1	71	0	0	0	0	0	0	0	0	0	0	0	67	1	3	0.333333	1	68	1.66667	5	0.333333	1
23	1	1	0	1	4	53	1.66667	5	0.333333	1	68	0	0	0	0	0	0	0	0	0	0	0	71	1.33333	4	0.333333	1	65	2	6	0.333333	1
24	1	1	0	1	4	53	2	6	0.333333	1	65	0	0	0	0	0	0	0	0	0	0	0	68	1.66667	5	0.333333	1	68	2.33333	7	0.333333	1
25	1	1	0	1	4	53	2.33333	7	0.333333	1	68	0	0	0	0	0	0	0	0	0	0	0	65	2	6	0.333333	1	72	2.66667	8	0.333333	1
26	1	1	0	1	4	53	2.66667	8	0.333333	1	72	0	0	0	0	0	0	0	0	0	0	0	68	2.33333	7	0.333333	1	71	3	9	0.333333	1
27	1	1	0	1	4	53	3	9	0.333333	1	71	0	0	0	0	0	0	0	0	0	0	0	72	2.66667	8	0.333333	1	62	3.33333	10	0.333333	1
28	1	1	0	1	4	53	3.33333	10	0.333333	1	62	1	0	0	0	0	0	0	0	0	0	0	71	3	9	0.333333	1	64	3.66667	11	0.333333	1
28	1	1	0	1	4	53	3.33333	10	0.333333	1	69	1	0	0	0	0	0	0	0	0	0	0	71	3	9	0.333333	1	64	3.66667	11	0.333333	1
29	1	1	0	1	4	53	3.66667	11	0.333333	1	64	0	0	0	0	0	0	0	0	0	0	0	62	3.33333	10	0.333333	1	66	4	12	0.333333	1
32	1	1	0	1	4	54	4	12	0.333333	1	66	0	0	0	0	0	0	0	0	0	0	0	64	3.66667	11	0.333333	1	67	4.33333	13	0.333333	1
32	2	2	0	2	3	54	4	12	4	12	40	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	40	12	36	4	12
33	1	1	0	1	4	54	4.33333	13	0.333333	1	67	0	0	0	0	0	0	0	0	0	0	0	66	4	12	0.333333	1	73	4.66667	14	0.333333	1
34	1	1	0	1	4	54	4.66667	14	0.333333	1	73	0	0	0	0	0	0	0	0	0	0	0	67	4.33333	13	0.333333	1	70	5	15	0.333333	1
35	1	1	0	1	4	54	5	15	0.333333	1	70	0	0	0	0	0	0	0	0	0	0	0	73	4.66667	14	0.333333	1	63	5.33333	16	0.333333	1
36	1	1	0	1	4	54	5.33333	16	0.333333	1	63	0	0	0	0	0	0	0	0	0	0	0	70	5	15	0.333333	1	66	5.66667	17	0.333333	1
37	1	1	0	1	4	54	5.66667	17	0.333333	1	66	0	0	0	0	0	0	0	0	0	0	0	63	5.33333	16	0.333333	1	72	6	18	0.333333	1
38	1	1	0	1	4	54	6	18	0.333333	1	72	0	0	0	0	0	0	0	0	0	0	0	66	5.66667	17	0.333333	1	68	6.33333	19	0.333333	1
39	1	1	0	1	4	54	6.33333	19	0.333333	1	68	0	0	0	0	0	0	0	0	0	0	0	72	6	18	0.333333	1	64	6.66667	20	0.333333	1
40	1	1	0	1	4	54	6.66667	20	0.333333	1	64	0	0	0	0	0	0	0	0	0	0	0	68	6.33333	19	0.333333	1	68	7	21	0.333333	1
41	1	1	0	1	4	54	7	21	0.333333	1	68	0	0	0	0	0	0	0	0	0	0	0	64	6.66667	20	0.333333	1	73	7.33333	22	0.333333	1
42	1	1	0	1	4	54	7.33333	22	0.333333	1	73	0	0	0	0	0	0	0	0	0	0	0	68	7	21	0.333333	1	72	7.66667	23	0.333333	1
43	1	1	0	1	4	54	7.66667	23	0.333333	1	72	0	0	0	0	0	0	0	0	0	0	0	73	7.33333	22	0.333333	1	61	8	24	0.333333	1
46	1	1	0	1	4	55	8	24	0.333333	1	61	1	0	0	0	0	0	0	0	0	0	0	72	7.66667	23	0.333333	1	63	8.33333	25	0.333333	1
46	1	1	0	1	4	55	8	24	0.333333	1	70	1	0	0	0	0	0	0	0	0	0	0	72	7.66667	23	0.333333	1	63	8.33333	25	0.333333	1
46	4	4	0	2	2	55	8	24	4	12	29	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	29	16	48	4	12
47	1	1	0	1	4	55	8.33333	25	0.333333	1	63	0	0	0	0	0	0	0	0	0	0	0	61	8	24	0.333333	1	65	8.66667	26	0.333333	1
48	1	1	0	1	4	55	8.66667	26	0.333333	1	65	0	0	0	0	0	0	0	0	0	0	0	63	8.33333	25	0.333333	1	66	9	27	0.333333	1
49	1	1	0	1	4	55	9	27	0.333333	1	66	0	0	0	0	0	0	0	0	0	0	0	65	8.66667	26	0.333333	1	74	9.33333	28	0.333333	1
50	1	1	0	1	4	55	9.33333	28	0.333333	1	74	0	0	0	0	0	0	0	0	0	0	0	66	9	27	0.333333	1	71	9.66667	29	0.333333	1
51	1	1	0	1	4	55	9.66667	29	0.333333	1	71	0	0	0	0	0	0	0	0	0	0	0	74	9.33333	28	0.333333	1	62	10	30	0.333333	1
52	1	1	0	1	4	55	10	30	0.333333	1	62	0	0	0	0	0	0	0	0	0	0	0	71	9.66667	29	0.333333	1	65	10.3333	31	0.333333	1
53	1	1	0	1	4	55	10.3333	31	0.333333	1	65	0	0	0	0	0	0	0	0	0	0	0	62	10	30	0.333333	1	73	10.6667	32	0.333333	1
54	1	1	0	1	4	55	10.6667	32	0.333333	1	73	0	0	0	0	0	0	0	0	0	0	0	65	10.3333	31	0.333333	1	68	11	33	0.333333	1
55	1	1	0	1	4	55	11	33	0.333333	1	68	0	0	0	0	0	0	0	0	0	0	0	73	10.6667	32	0.333333	1	63	11.3333	34	0.333333	1
56	1	1	0	1	4	55	11.3333	34	0.333333	1	63	0	0	0	0	0	0	0	0	0	0	0	68	11	33	0.333333	1	68	11.6667	35	0.333333	1
57	1	1	0	1	4	55	11.6667	35	0.333333	1	68	0	0	0	0	0	0	0	0	0	0	0	63	11.3333	34	0.333333	1	74	12	36	0.333333	1
59	1	1	0	1	4	56	12	36	0.333333	1	74	0	0	0	0	0	0	0	0	0	0	0	68	11.6667	35	0.333333	1	73	12.3333	37	0.333333	1
59	2	2	0	2	3	56	12	36	4	12	40	0	0	0	0	0	0	0	0	0	0	0	40	4	12	4	12	40	20	60	3	9
60	1	1	0	1	4	56	12.3333	37	0.333333	1	73	0	0	0	0	0	0	0	0	0	0	0	74	12	36	0.333333	1	60	12.6667	38	0.333333	1
61	1	1	0	1	4	56	12.6667	38	0.333333	1	60	1	0	0	0	0	0	0	0	0	0	0	73	12.3333	37	0.333333	1	62	13	39	0.333333	1
61	1	1	0	1	4	56	12.6667	38	0.333333	1	71	1	0	0	0	0	0	0	0	0	0	0	73	12.3333	37	0.333333	1	62	13	39	0.333333	1
62	1	1	0	1	4	56	13	39	0.333333	1	62	0	0	0	0	0	0	0	0	0	0	0	60	12.6667	38	0.333333	1	65	13.3333	40	0.333333	1
63	1	1	0	1	4	56	13.3333	40	0.333333	1	65	0	0	0	0	0	0	0	0	0	0	0	62	13	39	0.333333	1	65	13.6667	41	0.333333	1
64	1	1	0	1	4	56	13.6667	41	0.333333	1	65	0	0	0	0	0	0	0	0	0	0	0	65	13.3333	40	0.333333	1	75	14	42	0.333333	1
65	1	1	0	1	4	56	14	42	0.333333	1	75	0	1	0	0	0	0	0	0	0	0	0	65	13.6667	41	0.333333	1	72	14.3333	43	0.333333	1
66	1	1	0	1	4	56	14.3333	43	0.333333	1	72	0	0	0	0	0	0	0	0	0	0	0	75	14	42	0.333333	1	61	14.6667	44	0.333333	1
67	1	1	0	1	4	56	14.6667	44	0.333333	1	61	0	0	0	0	0	0	0	0	0	0	0	72	14.3333	43	0.333333	1	65	15	45	0.333333	1
68	1	1	0	1	4	56	15	45	0.333333	1	65	0	0	0	0	0	0	0	0	0	0	0	61	14.6667	44	0.333333	1	74	15.3333	46	0.333333	1
69	1	1	0	1	4	56	15.3333	46	0.333333	1	74	0	0	0	0	0	0	0	0	0	0	0	65	15	45	0.333333	1	68	15.6667	47	0.333333	1
70	1	1	0	1	4	56	15.6667	47	0.333333	1	68	0	0	0	0	0	0	0	0	0	0	0	74	15.3333	46	0.333333	1	64	16	48	0.333333	1
72	1	1	0	1	4	57	16	48	0.333333	1	64	0	0	0	0	0	0	0	0	0	0	0	68	15.6667	47	0.333333	1	68	16.3333	49	0.333333	1
72	4	4	0	2	2	57	16	48	4	12	29	0	0	0	0	0	0	0	0	0	0	0	29	8	24	4	12	-1	-1	-1	-1	-1
73	1	1	0	1	4	57	16.3333	49	0.333333	1	68	0	0	0	0	0	0	0	0	0	0	0	64	16	48	0.333333	1	75	16.6667	50	0.333333	1
74	1	1	0	1	4	57	16.6667	50	0.333333	1	75	0	0	0	0	0	0	0	0	0	0	0	68	16.3333	49	0.333333	1	74	17	51	0.333333	1
