line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur
18	1	1	1	0	2	11	0	0	1	12	51	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	51	1	12	1	12
18	1	1	1	0	2	11	0	0	1	12	54	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	51	1	12	1	12
18	1	1	1	0	2	11	0	0	1	12	58	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	51	1	12	1	12
18	2	1	2	0	2	11	0	0	0.5	6	51	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	51	0.5	6	0.25	3
18	2	1	2	0	2	11	0	0	0.5	6	54	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	51	0.5	6	0.25	3
18	2	1	2	0	2	11	0	0	0.5	6	58	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	51	0.5	6	0.25	3
19	4	2	2	0	1	11	0.25	3	0.25	3	65	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	63	0.5	6	0.25	3
20	3	2	1	0	1	11	0.333333	4	0.333333	4	78	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	77	0.666667	8	0.333333	4
21	2	1	2	0	2	11	0.5	6	0.25	3	51	1	0	0	0	0	0	0	0	0	0	0	51	0	0	0.5	6	39	0.75	9	0.25	3
21	2	1	2	0	2	11	0.5	6	0.25	3	54	1	0	0	0	0	0	0	0	0	0	0	51	0	0	0.5	6	39	0.75	9	0.25	3
21	2	1	2	0	2	11	0.5	6	0.25	3	58	1	0	0	0	0	0	0	0	0	0	0	51	0	0	0.5	6	39	0.75	9	0.25	3
21	4	2	2	0	1	11	0.5	6	0.25	3	63	0	0	0	0	0	0	0	0	0	0	0	65	0.25	3	0.25	3	63	0.75	9	0.25	3
22	3	2	1	0	1	11	0.666667	8	0.333333	4	77	0	0	0	0	0	0	0	0	0	0	0	78	0.333333	4	0.333333	4	80	1	12	0.333333	4
23	2	1	2	0	2	11	0.75	9	0.25	3	39	0	0	0	0	0	0	0	0	0	0	0	51	0.5	6	0.25	3	51	1	12	0.5	6
23	4	2	2	0	1	11	0.75	9	0.25	3	63	0	0	0	0	0	0	0	0	0	0	0	63	0.5	6	0.25	3	65	1.25	15	0.25	3
24	1	1	1	0	2	11	1	12	1	12	51	1	0	0	0	0	0	0	0	0	0	0	51	0	0	1	12	51	2	24	1	12
24	1	1	1	0	2	11	1	12	1	12	54	1	0	0	0	0	0	0	0	0	0	0	51	0	0	1	12	51	2	24	1	12
24	1	1	1	0	2	11	1	12	1	12	58	1	0	0	0	0	0	0	0	0	0	0	51	0	0	1	12	51	2	24	1	12
