line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur
18	1	1	0	0	4	63	0	0	1.5	6	53	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	41	1.5	6	1.5	6
18	1	1	0	0	4	63	0	0	1.5	6	55	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	41	1.5	6	1.5	6
18	2	2	1	0	3	63	0	0	1.5	6	65	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	67	1.5	6	1.5	6
18	3	2	2	0	3	63	0	0	3	12	58	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	62	6	24	3	12
18	3	2	2	0	3	63	0	0	3	12	62	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	62	6	24	3	12
18	5	4	0	0	2	63	0	0	2.25	9	63	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	62	2.25	9	0.75	3
18	6	5	1	0	1	63	0	0	0.5	2	87	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	82	0.5	2	0.5	2
18	7	5	2	0	1	63	0	0	1.5	6	87	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	86	2.5	10	0.5	2
19	6	5	1	0	1	63	0.5	2	0.5	2	82	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0.5	2	77	1	4	0.5	2
20	6	5	1	0	1	63	1	4	0.5	2	77	0	0	0	0	0	0	0	0	0	0	0	82	0.5	2	0.5	2	82	1.5	6	0.5	2
21	1	1	0	0	4	63	1.5	6	1.5	6	41	1	0	0	0	0	0	0	0	0	0	0	53	0	0	1.5	6	34	3	12	3	12
21	1	1	0	0	4	63	1.5	6	1.5	6	55	1	0	0	0	0	0	0	0	0	0	0	53	0	0	1.5	6	34	3	12	3	12
21	2	2	1	0	3	63	1.5	6	1.5	6	67	0	0	0	0	0	0	0	0	0	0	0	65	0	0	1.5	6	65	3	12	3	12
21	6	5	1	0	1	63	1.5	6	0.5	2	82	0	0	0	0	0	0	0	0	0	0	0	77	1	4	0.5	2	87	2	8	0.5	2
22	6	5	1	0	1	63	2	8	0.5	2	87	0	0	0	0	0	0	0	0	0	0	0	82	1.5	6	0.5	2	86	2.5	10	0.5	2
23	5	4	0	0	2	63	2.25	9	0.75	3	62	0	0	0	0	0	0	0	0	0	0	0	63	0	0	2.25	9	63	3	12	3	12
24	6	5	1	0	1	63	2.5	10	0.5	2	86	0	0	0	0	0	0	0	0	0	0	0	87	2	8	0.5	2	87	3	12	0.5	2
24	7	5	2	0	1	63	2.5	10	0.5	2	86	0	0	0	0	0	0	0	0	0	0	0	87	0	0	1.5	6	87	3	12	2.5	10
25	1	1	0	0	4	63	3	12	3	12	34	1	0	0	0	0	0	0	0	0	0	0	41	1.5	6	1.5	6	41	6	24	1.5	6
25	1	1	0	0	4	63	3	12	3	12	53	1	0	0	0	0	0	0	0	0	0	0	41	1.5	6	1.5	6	41	6	24	1.5	6
25	2	2	1	0	3	63	3	12	3	12	65	0	0	0	0	0	0	0	0	0	0	1	67	1.5	6	1.5	6	68	6	24	1.5	6
25	5	4	0	0	2	63	3	12	3	12	63	0	0	0	0	0	0	0	0	0	0	0	62	2.25	9	0.75	3	62	6	24	0.75	3
25	6	5	1	0	1	63	3	12	0.5	2	87	0	0	0	0	0	0	0	0	0	0	0	86	2.5	10	0.5	2	82	3.5	14	0.5	2
25	7	5	2	0	1	63	3	12	2.5	10	87	0	0	0	0	0	0	0	0	0	0	0	86	2.5	10	0.5	2	86	5.5	22	0.5	2
26	6	5	1	0	1	63	3.5	14	0.5	2	82	0	0	0	0	0	0	0	0	0	0	0	87	3	12	0.5	2	77	4	16	0.5	2
27	6	5	1	0	1	63	4	16	0.5	2	77	0	0	0	0	0	0	0	0	0	0	0	82	3.5	14	0.5	2	82	4.5	18	0.5	2
29	6	5	1	0	1	64	4.5	18	0.5	2	82	0	0	0	0	0	0	0	0	0	0	0	77	4	16	0.5	2	87	5	20	0.5	2
30	6	5	1	0	1	64	5	20	0.5	2	87	0	0	0	0	0	0	0	0	0	0	0	82	4.5	18	0.5	2	86	5.5	22	0.5	2
31	6	5	1	0	1	64	5.5	22	0.5	2	86	0	0	0	0	0	0	0	0	0	0	0	87	5	20	0.5	2	84	6	24	0.5	2
31	7	5	2	0	1	64	5.5	22	0.5	2	86	0	0	0	0	0	0	0	0	0	0	0	87	3	12	2.5	10	84	6	24	2.5	10
32	1	1	0	0	4	64	6	24	1.5	6	41	1	0	0	0	0	0	0	0	0	0	0	34	3	12	3	12	55	7.5	30	1.5	6
32	1	1	0	0	4	64	6	24	1.5	6	56	1	0	0	0	0	0	0	0	0	0	0	34	3	12	3	12	55	7.5	30	1.5	6
32	2	2	1	0	3	64	6	24	1.5	6	68	0	0	0	0	1	0	0	0	0	1	0	65	3	12	3	12	70	7.5	30	1.5	6
32	3	2	2	0	3	64	6	24	3	12	62	1	0	0	0	0	0	0	0	0	0	0	58	0	0	3	12	63	9	36	4.5	18
32	3	2	2	0	3	64	6	24	3	12	65	1	0	0	0	0	0	0	0	0	0	0	58	0	0	3	12	63	9	36	4.5	18
32	5	4	0	0	2	64	6	24	0.75	3	62	0	0	0	0	0	0	0	0	0	0	0	63	3	12	3	12	60	6.75	27	1.5	6
32	6	5	1	0	1	64	6	24	0.5	2	84	0	0	0	0	0	0	0	0	0	0	0	86	5.5	22	0.5	2	77	6.5	26	0.5	2
32	7	5	2	0	1	64	6	24	2.5	10	84	0	0	0	0	0	0	0	0	0	0	0	86	5.5	22	0.5	2	82	8.5	34	0.5	2
33	6	5	1	0	1	64	6.5	26	0.5	2	77	0	0	0	0	0	0	0	0	0	0	0	84	6	24	0.5	2	74	7	28	0.5	2
34	5	4	0	0	2	64	6.75	27	1.5	6	60	0	0	0	0	0	0	0	0	0	0	0	62	6	24	0.75	3	58	8.25	33	0.75	3
35	6	5	1	0	1	64	7	28	0.5	2	74	0	0	0	0	0	0	0	0	0	0	0	77	6.5	26	0.5	2	77	7.5	30	0.5	2
