line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur
16	1	1	0	0	1	1	0.5	4	0.25	2	86	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	86	0.75	6	0.25	2
17	1	1	0	0	1	1	0.75	6	0.25	2	86	0	0	0	0	0	0	0	0	0	0	0	86	0.5	4	0.25	2	86	1	8	0.5	4
18	1	1	0	0	1	1	1	8	0.5	4	86	0	0	0	0	0	0	0	0	0	0	0	86	0.75	6	0.25	2	86	1.5	12	0.5	4
19	1	1	0	0	1	1	1.5	12	0.5	4	86	0	0	0	0	0	0	0	0	0	0	0	86	1	8	0.5	4	88	2	16	0.75	6
20	1	1	0	0	1	1	2	16	0.75	6	88	0	0	0	0	0	0	0	0	0	1	0	86	1.5	12	0.5	4	86	2.75	22	0.25	2
21	1	1	0	0	1	1	2.75	22	0.25	2	86	0	0	0	0	0	0	0	0	0	0	1	88	2	16	0.75	6	85	3	24	0.5	4
23	1	1	0	0	1	2	3	24	0.5	4	85	0	0	0	0	0	0	0	0	0	0	0	86	2.75	22	0.25	2	81	3.5	28	0.25	2
24	1	1	0	0	1	2	3.5	28	0.25	2	81	0	0	0	0	0	0	0	0	0	0	0	85	3	24	0.5	4	83	3.75	30	0.25	2
25	1	1	0	0	1	2	3.75	30	0.25	2	83	0	0	0	0	0	0	0	0	0	0	0	81	3.5	28	0.25	2	84	4	32	0.75	6
26	1	1	0	0	1	2	4	32	0.75	6	84	0	0	0	0	0	0	0	0	0	1	0	83	3.75	30	0.25	2	81	4.75	38	0.25	2
27	1	1	0	0	1	2	4.75	38	0.25	2	81	0	0	0	0	0	0	0	0	0	0	0	84	4	32	0.75	6	83	5	40	0.75	6
28	1	1	0	0	1	2	5	40	0.75	6	83	0	0	0	0	0	0	0	0	0	0	0	81	4.75	38	0.25	2	81	5.75	46	0.25	2
29	1	1	0	0	1	2	5.75	46	0.25	2	81	0	0	0	0	0	0	0	0	0	0	1	83	5	40	0.75	6	79	6	48	0.5	4
31	1	1	0	0	1	3	6	48	0.5	4	79	0	0	0	0	0	0	0	0	0	1	0	81	5.75	46	0.25	2	81	6.5	52	0.25	2
32	1	1	0	0	1	3	6.5	52	0.25	2	81	0	0	0	0	0	0	0	0	0	0	0	79	6	48	0.5	4	83	6.75	54	0.25	2
33	1	1	0	0	1	3	6.75	54	0.25	2	83	0	0	0	0	0	0	0	0	0	0	1	81	6.5	52	0.25	2	81	7	56	0.75	6
34	1	1	0	0	1	3	7	56	0.75	6	81	0	0	0	0	0	0	0	0	0	1	0	83	6.75	54	0.25	2	78	7.75	62	0.25	2
35	1	1	0	0	1	3	7.75	62	0.25	2	78	0	0	0	0	0	0	0	0	0	0	0	81	7	56	0.75	6	79	8	64	0.75	6
36	1	1	0	0	1	3	8	64	0.75	6	79	0	0	0	0	0	0	0	0	0	0	0	78	7.75	62	0.25	2	78	8.75	70	0.25	2
37	1	1	0	0	1	3	8.75	70	0.25	2	78	0	0	0	0	0	0	0	0	0	0	1	79	8	64	0.75	6	76	9	72	0.75	6
39	1	1	0	0	1	4	9	72	0.75	6	76	0	1	0	0	0	0	0	0	0	1	0	78	8.75	70	0.25	2	78	9.75	78	0.125	1
40	1	1	0	0	1	4	9.75	78	0.125	1	78	0	0	0	0	0	0	0	0	0	0	0	76	9	72	0.75	6	76	9.875	79	0.125	1
41	1	1	0	0	1	4	9.875	79	0.125	1	76	0	0	0	0	0	0	0	0	0	0	1	78	9.75	78	0.125	1	74	10	80	2	16
42	1	1	0	0	1	4	10	80	2	16	74	0	0	0	0	0	0	0	0	0	0	0	76	9.875	79	0.125	1	-1	-1	-1	-1	-1
