line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur
17	1	1	0	0	7	42	0	0	0.25	1	52	0	1	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	52	0.25	1	0.25	1
17	5	5	0	0	5	42	0	0	0.5	2	45	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	45	0.5	2	0.5	2
17	5	5	0	0	5	42	0	0	0.5	2	47	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	45	0.5	2	0.5	2
17	7	7	0	0	4	42	0	0	0.5	2	61	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	65	0.5	2	0.5	2
17	9	9	0	0	3	42	0	0	0.5	2	68	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	70	0.5	2	0.5	2
17	11	11	0	0	2	42	0	0	0.5	2	64	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	63	0.5	2	0.5	2
17	13	13	0	0	1	42	0	0	0.5	2	70	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	68	0.5	2	0.5	2
17	13	13	0	0	1	42	0	0	0.5	2	74	1	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	68	0.5	2	0.5	2
18	1	1	0	0	7	42	0.25	1	0.25	1	52	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0.25	1	52	0.5	2	0.25	1
19	1	1	0	0	7	42	0.5	2	0.25	1	52	0	1	0	0	0	0	0	0	0	0	0	52	0.25	1	0.25	1	52	0.75	3	0.25	1
19	5	5	0	0	5	42	0.5	2	0.5	2	45	1	0	0	0	0	0	0	0	0	0	0	45	0	0	0.5	2	43	1	4	0.25	1
19	5	5	0	0	5	42	0.5	2	0.5	2	47	1	0	0	0	0	0	0	0	0	0	0	45	0	0	0.5	2	43	1	4	0.25	1
19	7	7	0	0	4	42	0.5	2	0.5	2	65	0	0	0	0	0	0	0	0	0	0	1	61	0	0	0.5	2	66	1	4	0.25	1
19	9	9	0	0	3	42	0.5	2	0.5	2	70	0	0	0	0	0	0	0	0	0	0	1	68	0	0	0.5	2	66	1	4	0.25	1
19	11	11	0	0	2	42	0.5	2	0.5	2	63	0	0	0	0	0	0	0	0	0	0	1	64	0	0	0.5	2	63	1	4	0.25	1
19	13	13	0	0	1	42	0.5	2	0.5	2	68	1	0	0	0	0	0	0	0	0	0	1	70	0	0	0.5	2	70	1	4	0.25	1
19	13	13	0	0	1	42	0.5	2	0.5	2	72	1	0	0	0	0	0	0	0	0	0	1	70	0	0	0.5	2	70	1	4	0.25	1
20	1	1	0	0	7	42	0.75	3	0.25	1	52	0	0	0	0	0	0	0	0	0	0	0	52	0.5	2	0.25	1	52	1	4	0.25	1
