ticks	cbeat	notes	voices
0	0	0	0
6	0.5	0	0
12	1	1	1
14	1.16667	1	1
16	1.33333	1	1
18	1.5	1	1
24	2	2	2
27	2.25	1	1
30	2.5	4	3
33	2.75	1	1
36	3	2	2
39	3.25	1	1
42	3.5	2	2
45	3.75	1	1
48	4	2	2
50	4.16667	1	1
52	4.33333	1	1
54	4.5	1	1
60	5	2	2
63	5.25	1	1
66	5.5	4	3
69	5.75	1	1
72	6	2	2
75	6.25	1	1
78	6.5	2	2
81	6.75	1	1
84	7	2	2
86	7.16667	1	1
88	7.33333	1	1
90	7.5	1	1
96	8	2	2
99	8.25	1	1
102	8.5	4	3
105	8.75	1	1
108	9	2	2
111	9.25	1	1
114	9.5	4	3
117	9.75	1	1
120	10	2	2
123	10.25	1	1
126	10.5	4	3
129	10.75	1	1
132	11	2	2
135	11.25	1	1
138	11.5	2	2
141	11.75	1	1
144	12	2	2
147	12.25	1	1
150	12.5	2	2
153	12.75	1	1
156	13	2	2
158	13.1667	1	1
160	13.3333	1	1
