line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur
18	1	1	0	1	4	46	0	0	1	36	49	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	61	1	36	0.333333	12
18	3	3	0	2	3	46	0	0	2	72	64	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	65	2	72	2	72
18	5	5	0	2	2	46	0	0	2	72	67	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	68	2	72	2	72
18	7	7	0	2	1	46	0	0	0.333333	12	83	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	81	0.333333	12	0.333333	12
19	7	7	0	2	1	46	0.333333	12	0.333333	12	81	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0.333333	12	79	0.666667	24	0.333333	12
20	7	7	0	2	1	46	0.666667	24	0.333333	12	79	0	0	0	0	0	0	0	0	0	0	1	81	0.333333	12	0.333333	12	71	1	36	1	36
21	1	1	0	1	4	46	1	36	0.333333	12	61	0	0	0	0	0	0	0	0	0	1	0	49	0	0	1	36	60	1.33333	48	0.333333	12
21	7	7	0	2	1	46	1	36	1	36	71	0	0	0	0	0	0	0	0	0	0	0	79	0.666667	24	0.333333	12	84	2	72	0.333333	12
22	1	1	0	1	4	46	1.33333	48	0.333333	12	60	0	0	0	0	0	0	0	0	0	0	0	61	1	36	0.333333	12	59	1.66667	60	0.333333	12
23	1	1	0	1	4	46	1.66667	60	0.333333	12	59	0	0	0	0	0	0	0	0	0	0	1	60	1.33333	48	0.333333	12	50	2	72	1	36
24	1	1	0	1	4	46	2	72	1	36	50	0	0	0	0	0	0	0	0	0	0	0	59	1.66667	60	0.333333	12	62	3	108	0.333333	12
24	3	3	0	2	3	46	2	72	2	72	65	0	0	0	0	0	0	0	0	0	0	0	64	0	0	2	72	66	4	144	2	72
24	5	5	0	2	2	46	2	72	2	72	68	0	0	0	0	0	0	0	0	0	0	0	67	0	0	2	72	69	4	144	2	72
24	7	7	0	2	1	46	2	72	0.333333	12	84	0	0	0	0	0	0	0	0	0	1	0	71	1	36	1	36	82	2.33333	84	0.333333	12
25	7	7	0	2	1	46	2.33333	84	0.333333	12	82	0	0	0	0	0	0	0	0	0	0	0	84	2	72	0.333333	12	80	2.66667	96	0.333333	12
26	7	7	0	2	1	46	2.66667	96	0.333333	12	80	0	0	0	0	0	0	0	0	0	0	1	82	2.33333	84	0.333333	12	72	3	108	1	36
27	1	1	0	1	4	46	3	108	0.333333	12	62	0	0	0	0	0	0	0	0	0	1	0	50	2	72	1	36	61	3.33333	120	0.333333	12
27	7	7	0	2	1	46	3	108	1	36	72	0	0	0	0	0	0	0	0	0	0	0	80	2.66667	96	0.333333	12	85	4	144	0.333333	12
28	1	1	0	1	4	46	3.33333	120	0.333333	12	61	0	0	0	0	0	0	0	0	0	0	0	62	3	108	0.333333	12	60	3.66667	132	0.333333	12
29	1	1	0	1	4	46	3.66667	132	0.333333	12	60	0	0	0	0	0	0	0	0	0	0	1	61	3.33333	120	0.333333	12	51	4	144	1	36
31	1	1	0	1	4	47	4	144	1	36	51	0	0	0	0	0	0	0	0	0	0	0	60	3.66667	132	0.333333	12	63	5	180	0.333333	12
31	3	3	0	2	3	47	4	144	2	72	66	0	0	0	0	0	0	0	0	0	0	0	65	2	72	2	72	57	6	216	0.333333	12
31	5	5	0	2	2	47	4	144	2	72	69	0	0	0	0	0	0	0	0	0	0	0	68	2	72	2	72	66	6	216	0.333333	12
31	7	7	0	2	1	47	4	144	0.333333	12	85	0	0	0	0	0	0	0	0	0	1	0	72	3	108	1	36	83	4.33333	156	0.333333	12
32	7	7	0	2	1	47	4.33333	156	0.333333	12	83	0	0	0	0	0	0	0	0	0	0	0	85	4	144	0.333333	12	81	4.66667	168	0.333333	12
33	7	7	0	2	1	47	4.66667	168	0.333333	12	81	0	0	0	0	0	0	0	0	0	0	1	83	4.33333	156	0.333333	12	73	5	180	1	36
34	1	1	0	1	4	47	5	180	0.333333	12	63	0	0	0	0	0	0	0	0	0	1	0	51	4	144	1	36	62	5.33333	192	0.333333	12
34	7	7	0	2	1	47	5	180	1	36	73	0	0	0	0	0	0	0	0	0	0	0	81	4.66667	168	0.333333	12	75	6	216	0.333333	12
35	1	1	0	1	4	47	5.33333	192	0.333333	12	62	0	0	0	0	0	0	0	0	0	0	0	63	5	180	0.333333	12	61	5.66667	204	0.333333	12
36	1	1	0	1	4	47	5.66667	204	0.333333	12	61	0	0	0	0	0	0	0	0	0	0	1	62	5.33333	192	0.333333	12	48	6	216	0.666667	24
37	1	1	0	1	4	47	6	216	0.666667	24	48	0	0	0	0	0	0	0	0	0	1	0	61	5.66667	204	0.333333	12	47	6.66667	240	0.666667	24
37	3	3	0	2	3	47	6	216	0.333333	12	57	0	0	0	0	0	0	0	0	0	1	0	66	4	144	2	72	58	6.33333	228	0.333333	12
37	5	5	0	2	2	47	6	216	0.333333	12	66	0	0	0	0	0	0	0	0	0	1	0	69	4	144	2	72	65	6.33333	228	0.333333	12
37	7	7	0	2	1	47	6	216	0.333333	12	75	0	0	0	0	0	0	0	0	0	1	0	73	5	180	1	36	74	6.33333	228	0.333333	12
38	3	3	0	2	3	47	6.33333	228	0.333333	12	58	0	0	0	0	0	0	0	0	0	0	0	57	6	216	0.333333	12	59	6.66667	240	0.333333	12
38	5	5	0	2	2	47	6.33333	228	0.333333	12	65	0	0	0	0	0	0	0	0	0	0	0	66	6	216	0.333333	12	66	6.66667	240	0.333333	12
38	7	7	0	2	1	47	6.33333	228	0.333333	12	74	0	0	0	0	0	0	0	0	0	0	0	75	6	216	0.333333	12	75	6.66667	240	0.333333	12
39	1	1	0	1	4	47	6.66667	240	0.666667	24	47	0	0	0	0	0	0	0	0	0	0	0	48	6	216	0.666667	24	46	7.33333	264	0.666667	24
39	3	3	0	2	3	47	6.66667	240	0.333333	12	59	0	0	0	0	0	0	0	0	0	0	1	58	6.33333	228	0.333333	12	60	7	252	0.333333	12
39	5	5	0	2	2	47	6.66667	240	0.333333	12	66	0	0	0	0	0	0	0	0	0	0	1	65	6.33333	228	0.333333	12	68	7	252	0.333333	12
39	7	7	0	2	1	47	6.66667	240	0.333333	12	75	0	0	0	0	0	0	0	0	0	0	1	74	6.33333	228	0.333333	12	76	7	252	0.333333	12
40	3	3	0	2	3	47	7	252	0.333333	12	60	0	0	0	0	0	0	0	0	0	1	0	59	6.66667	240	0.333333	12	59	7.33333	264	0.333333	12
40	5	5	0	2	2	47	7	252	0.333333	12	68	0	0	0	0	0	0	0	0	0	1	0	66	6.66667	240	0.333333	12	67	7.33333	264	0.333333	12
40	7	7	0	2	1	47	7	252	0.333333	12	76	0	0	0	0	0	0	0	0	0	1	0	75	6.66667	240	0.333333	12	75	7.33333	264	0.333333	12
41	1	1	0	1	4	47	7.33333	264	0.666667	24	46	0	0	0	0	0	0	0	0	0	0	1	47	6.66667	240	0.666667	24	45	8	288	0.666667	24
41	3	3	0	2	3	47	7.33333	264	0.333333	12	59	0	0	0	0	0	0	0	0	0	0	0	60	7	252	0.333333	12	60	7.66667	276	0.333333	12
41	5	5	0	2	2	47	7.33333	264	0.333333	12	67	0	0	0	0	0	0	0	0	0	0	0	68	7	252	0.333333	12	68	7.66667	276	0.333333	12
41	7	7	0	2	1	47	7.33333	264	0.333333	12	75	0	0	0	0	0	0	0	0	0	0	0	76	7	252	0.333333	12	76	7.66667	276	0.333333	12
42	3	3	0	2	3	47	7.66667	276	0.333333	12	60	0	0	0	0	0	0	0	0	0	0	1	59	7.33333	264	0.333333	12	57	8	288	0.333333	12
42	5	5	0	2	2	47	7.66667	276	0.333333	12	68	0	0	0	0	0	0	0	0	0	0	1	67	7.33333	264	0.333333	12	69	8	288	0.333333	12
42	7	7	0	2	1	47	7.66667	276	0.333333	12	76	0	0	0	0	0	0	0	0	0	0	1	75	7.33333	264	0.333333	12	77	8	288	0.333333	12
44	1	1	0	1	4	48	8	288	0.666667	24	45	0	0	0	0	0	0	0	0	0	1	0	46	7.33333	264	0.666667	24	44	8.66667	312	0.666667	24
44	3	3	0	2	3	48	8	288	0.333333	12	57	0	0	0	0	0	0	0	0	0	1	0	60	7.66667	276	0.333333	12	56	8.33333	300	0.333333	12
44	5	5	0	2	2	48	8	288	0.333333	12	69	0	0	0	0	0	0	0	0	0	1	0	68	7.66667	276	0.333333	12	68	8.33333	300	0.333333	12
44	7	7	0	2	1	48	8	288	0.333333	12	77	0	0	0	0	0	0	0	0	0	1	0	76	7.66667	276	0.333333	12	76	8.33333	300	0.333333	12
45	3	3	0	2	3	48	8.33333	300	0.333333	12	56	0	0	0	0	0	0	0	0	0	0	0	57	8	288	0.333333	12	57	8.66667	312	0.333333	12
45	5	5	0	2	2	48	8.33333	300	0.333333	12	68	0	0	0	0	0	0	0	0	0	0	0	69	8	288	0.333333	12	69	8.66667	312	0.333333	12
45	7	7	0	2	1	48	8.33333	300	0.333333	12	76	0	0	0	0	0	0	0	0	0	0	0	77	8	288	0.333333	12	77	8.66667	312	0.333333	12
46	1	1	0	1	4	48	8.66667	312	0.666667	24	44	0	0	0	0	0	0	0	0	0	0	0	45	8	288	0.666667	24	43	9.33333	336	0.666667	24
46	3	3	0	2	3	48	8.66667	312	0.333333	12	57	0	0	0	0	0	0	0	0	0	0	1	56	8.33333	300	0.333333	12	59	9	324	0.333333	12
46	5	5	0	2	2	48	8.66667	312	0.333333	12	69	0	0	0	0	0	0	0	0	0	0	1	68	8.33333	300	0.333333	12	71	9	324	0.333333	12
