line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur
17	5	5	0	0	2	174	0	0	0.5	1	66	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	63	0.5	1	0.5	1
17	7	7	0	0	1	174	0	0	0.5	1	74	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	83	0.5	1	0.5	1
18	5	5	0	0	2	174	0.5	1	0.5	1	63	0	0	0	0	0	1	0	0	0	0	1	66	0	0	0.5	1	63	1	2	0.5	1
18	7	7	0	0	1	174	0.5	1	0.5	1	83	0	0	0	0	0	0	0	0	0	0	1	74	0	0	0.5	1	83	1	2	0.5	1
19	1	1	0	0	4	174	1	2	1	2	43	0	0	0	0	0	0	0	0	0	1	0	-1	-1	-1	-1	-1	52	2	4	3	6
19	5	5	0	0	2	174	1	2	0.5	1	63	0	0	0	0	0	0	0	0	0	1	0	63	0.5	1	0.5	1	69	1.5	3	0.5	1
19	7	7	0	0	1	174	1	2	0.5	1	83	0	0	0	0	0	0	0	0	0	1	0	83	0.5	1	0.5	1	72	1.5	3	0.5	1
20	5	5	0	0	2	174	1.5	3	0.5	1	69	0	0	0	0	0	1	0	0	0	0	1	63	1	2	0.5	1	69	2	4	0.5	1
20	7	7	0	0	1	174	1.5	3	0.5	1	72	0	0	0	0	0	0	0	0	0	0	1	83	1	2	0.5	1	72	2	4	0.5	1
21	1	1	0	0	4	174	2	4	3	6	52	0	0	0	0	0	0	0	0	0	0	0	43	1	2	1	2	51	5	10	2	4
21	5	5	0	0	2	174	2	4	0.5	1	69	0	0	0	0	0	0	0	0	0	1	0	69	1.5	3	0.5	1	58	2.5	5	0.5	1
21	7	7	0	0	1	174	2	4	0.5	1	72	0	0	0	0	0	0	0	0	0	1	0	72	1.5	3	0.5	1	77	2.5	5	0.5	1
22	5	5	0	0	2	174	2.5	5	0.5	1	58	0	0	0	0	0	1	0	0	0	0	1	69	2	4	0.5	1	58	3	6	0.5	1
22	7	7	0	0	1	174	2.5	5	0.5	1	77	0	0	0	0	0	0	0	0	0	0	1	72	2	4	0.5	1	77	3	6	0.5	1
23	5	5	0	0	2	174	3	6	0.5	1	58	0	0	0	0	0	0	0	0	0	1	0	58	2.5	5	0.5	1	61	3.5	7	0.5	1
23	7	7	0	0	1	174	3	6	0.5	1	77	0	0	0	0	0	0	0	0	0	1	0	77	2.5	5	0.5	1	68	3.5	7	0.5	1
24	5	5	0	0	2	174	3.5	7	0.5	1	61	0	0	0	0	0	1	0	0	0	0	1	58	3	6	0.5	1	61	4	8	1	2
24	7	7	0	0	1	174	3.5	7	0.5	1	68	0	0	0	0	0	0	0	0	0	0	1	77	3	6	0.5	1	68	4	8	1	2
26	5	5	0	0	2	175	4	8	1	2	61	0	0	0	0	1	0	0	0	0	0	0	61	3.5	7	0.5	1	60	5	10	0.5	1
26	7	7	0	0	1	175	4	8	1	2	68	0	0	0	0	1	0	0	0	0	0	0	68	3.5	7	0.5	1	77	5	10	0.5	1
27	1	1	0	0	4	175	5	10	2	4	51	0	0	0	0	0	0	0	0	0	1	0	52	2	4	3	6	57	7	14	2	4
27	5	5	0	0	2	175	5	10	0.5	1	60	0	0	0	0	0	0	0	0	0	1	0	61	4	8	1	2	71	5.5	11	0.5	1
27	7	7	0	0	1	175	5	10	0.5	1	77	0	0	0	0	0	0	0	0	0	1	0	68	4	8	1	2	68	5.5	11	0.5	1
28	5	5	0	0	2	175	5.5	11	0.5	1	71	0	0	0	0	0	0	0	0	0	0	1	60	5	10	0.5	1	71	6	12	0.5	1
28	7	7	0	0	1	175	5.5	11	0.5	1	68	0	0	0	0	0	0	0	0	0	0	1	77	5	10	0.5	1	68	6	12	0.5	1
29	5	5	0	0	2	175	6	12	0.5	1	71	0	0	0	0	0	0	0	0	0	1	0	71	5.5	11	0.5	1	66	6.5	13	0.5	1
29	7	7	0	0	1	175	6	12	0.5	1	68	0	0	0	0	0	0	0	0	0	1	0	68	5.5	11	0.5	1	62	6.5	13	0.5	1
30	5	5	0	0	2	175	6.5	13	0.5	1	66	0	0	0	0	0	0	0	0	0	0	1	71	6	12	0.5	1	66	7	14	0.5	1
30	7	7	0	0	1	175	6.5	13	0.5	1	62	0	0	0	0	0	0	0	0	0	0	1	68	6	12	0.5	1	62	7	14	0.5	1
31	1	1	0	0	4	175	7	14	2	4	57	0	0	0	0	0	0	0	0	0	0	0	51	5	10	2	4	60	9	18	1	2
31	5	5	0	0	2	175	7	14	0.5	1	66	0	0	0	0	0	0	0	0	0	1	0	66	6.5	13	0.5	1	55	7.5	15	0.5	1
31	7	7	0	0	1	175	7	14	0.5	1	62	0	0	0	0	0	0	0	0	0	1	0	62	6.5	13	0.5	1	73	7.5	15	0.5	1
32	5	5	0	0	2	175	7.5	15	0.5	1	55	0	0	0	0	0	0	0	0	0	0	1	66	7	14	0.5	1	55	8	16	0.5	1
32	7	7	0	0	1	175	7.5	15	0.5	1	73	0	0	0	0	0	0	0	0	0	0	1	62	7	14	0.5	1	73	8	16	0.5	1
34	5	5	0	0	2	176	8	16	0.5	1	55	0	0	0	0	0	0	0	0	0	1	0	55	7.5	15	0.5	1	64	8.5	17	0.5	1
34	7	7	0	0	1	176	8	16	0.5	1	73	0	0	0	0	0	0	0	0	0	1	0	73	7.5	15	0.5	1	71	8.5	17	0.5	1
35	5	5	0	0	2	176	8.5	17	0.5	1	64	0	0	0	0	0	0	0	0	0	0	1	55	8	16	0.5	1	69	9	18	0.5	1
35	7	7	0	0	1	176	8.5	17	0.5	1	71	0	0	0	0	0	0	0	0	0	0	1	73	8	16	0.5	1	71	9	18	0.5	1
36	1	1	0	0	4	176	9	18	1	2	60	0	0	0	0	0	0	0	0	0	1	0	57	7	14	2	4	41	10	20	2	4
36	5	5	0	0	2	176	9	18	0.5	1	69	0	0	0	0	0	0	0	0	0	1	0	64	8.5	17	0.5	1	63	9.5	19	0.5	1
36	7	7	0	0	1	176	9	18	0.5	1	71	0	0	0	0	0	0	0	0	0	1	0	71	8.5	17	0.5	1	80	9.5	19	0.5	1
37	5	5	0	0	2	176	9.5	19	0.5	1	63	0	0	0	0	0	1	0	0	0	0	1	69	9	18	0.5	1	63	10	20	0.5	1
37	7	7	0	0	1	176	9.5	19	0.5	1	80	0	0	0	0	0	1	0	0	0	0	1	71	9	18	0.5	1	80	10	20	0.5	1
38	1	1	0	0	4	176	10	20	2	4	41	0	0	0	0	0	0	0	0	0	0	1	60	9	18	1	2	66	14	28	1	2
38	5	5	0	0	2	176	10	20	0.5	1	63	0	0	0	0	0	0	0	0	0	1	0	63	9.5	19	0.5	1	70	10.5	21	0.5	1
38	7	7	0	0	1	176	10	20	0.5	1	80	0	0	0	0	0	0	0	0	0	1	0	80	9.5	19	0.5	1	67	10.5	21	0.5	1
39	5	5	0	0	2	176	10.5	21	0.5	1	70	0	0	0	0	0	1	0	0	0	0	1	63	10	20	0.5	1	70	11	22	0.5	1
39	7	7	0	0	1	176	10.5	21	0.5	1	67	0	0	0	0	0	1	0	0	0	0	1	80	10	20	0.5	1	67	11	22	0.5	1
40	5	5	0	0	2	176	11	22	0.5	1	70	0	0	0	0	0	0	0	0	0	1	0	70	10.5	21	0.5	1	66	11.5	23	0.5	1
40	7	7	0	0	1	176	11	22	0.5	1	67	0	0	0	0	0	0	0	0	0	1	0	67	10.5	21	0.5	1	73	11.5	23	0.5	1
41	5	5	0	0	2	176	11.5	23	0.5	1	66	0	0	0	0	0	1	0	0	0	0	1	70	11	22	0.5	1	66	12	24	0.5	1
41	7	7	0	0	1	176	11.5	23	0.5	1	73	0	0	0	0	0	0	0	0	0	0	1	67	11	22	0.5	1	73	12	24	0.5	1
43	5	5	0	0	2	177	12	24	0.5	1	66	0	0	0	0	0	0	0	0	0	1	0	66	11.5	23	0.5	1	74	12.5	25	0.5	1
43	7	7	0	0	1	177	12	24	0.5	1	73	0	0	0	0	0	0	0	0	0	1	0	73	11.5	23	0.5	1	64	12.5	25	0.5	1
44	5	5	0	0	2	177	12.5	25	0.5	1	74	0	0	0	0	0	0	0	0	0	0	1	66	12	24	0.5	1	74	13	26	1	2
44	7	7	0	0	1	177	12.5	25	0.5	1	64	0	0	0	0	0	0	0	0	0	0	1	73	12	24	0.5	1	64	13	26	1	2
45	5	5	0	0	2	177	13	26	1	2	74	0	0	0	0	1	0	0	0	0	0	0	74	12.5	25	0.5	1	55	14	28	0.5	1
45	7	7	0	0	1	177	13	26	1	2	64	0	0	0	0	1	0	0	0	0	0	0	64	12.5	25	0.5	1	86	14	28	0.5	1
47	1	1	0	0	4	177	14	28	1	2	66	0	0	0	0	0	0	0	0	0	1	0	41	10	20	2	4	59	15	30	3	6
47	5	5	0	0	2	177	14	28	0.5	1	55	0	0	0	0	0	0	0	0	0	1	0	74	13	26	1	2	70	14.5	29	0.5	1
47	7	7	0	0	1	177	14	28	0.5	1	86	0	0	0	0	0	0	0	0	0	1	0	64	13	26	1	2	80	14.5	29	0.5	1
48	5	5	0	0	2	177	14.5	29	0.5	1	70	0	0	0	0	0	1	0	0	0	0	1	55	14	28	0.5	1	70	15	30	0.5	1
48	7	7	0	0	1	177	14.5	29	0.5	1	80	0	0	0	0	0	1	0	0	0	0	1	86	14	28	0.5	1	80	15	30	0.5	1
49	1	1	0	0	4	177	15	30	3	6	59	0	0	0	0	0	0	0	0	0	0	0	66	14	28	1	2	70	18	36	2	4
49	5	5	0	0	2	177	15	30	0.5	1	70	0	0	0	0	0	0	0	0	0	1	0	70	14.5	29	0.5	1	64	15.5	31	0.5	1
49	7	7	0	0	1	177	15	30	0.5	1	80	0	0	0	0	0	0	0	0	0	1	0	80	14.5	29	0.5	1	86	15.5	31	0.5	1
50	5	5	0	0	2	177	15.5	31	0.5	1	64	0	0	0	0	0	1	0	0	0	0	1	70	15	30	0.5	1	64	16	32	0.5	1
50	7	7	0	0	1	177	15.5	31	0.5	1	86	0	0	0	0	0	1	0	0	0	0	1	80	15	30	0.5	1	85	16	32	0.5	1
52	5	5	0	0	2	178	16	32	0.5	1	64	0	0	0	0	0	0	0	0	0	1	0	64	15.5	31	0.5	1	75	16.5	33	0.5	1
52	7	7	0	0	1	178	16	32	0.5	1	85	0	0	0	0	0	0	0	0	0	1	0	86	15.5	31	0.5	1	77	16.5	33	0.5	1
53	5	5	0	0	2	178	16.5	33	0.5	1	75	0	0	0	0	0	1	0	0	0	0	1	64	16	32	0.5	1	75	17	34	0.5	1
53	7	7	0	0	1	178	16.5	33	0.5	1	77	0	0	0	0	0	1	0	0	0	0	1	85	16	32	0.5	1	77	17	34	0.5	1
54	5	5	0	0	2	178	17	34	0.5	1	75	0	0	0	0	0	0	0	0	0	1	0	75	16.5	33	0.5	1	72	17.5	35	0.5	1
54	7	7	0	0	1	178	17	34	0.5	1	77	0	0	0	0	0	0	0	0	0	1	0	77	16.5	33	0.5	1	81	17.5	35	0.5	1
55	5	5	0	0	2	178	17.5	35	0.5	1	72	0	0	0	0	0	1	0	0	0	0	1	75	17	34	0.5	1	59	18	36	0.5	1
55	7	7	0	0	1	178	17.5	35	0.5	1	81	0	0	0	0	0	1	0	0	0	0	1	77	17	34	0.5	1	75	18	36	0.5	1
56	1	1	0	0	4	178	18	36	2	4	70	0	0	0	0	0	0	0	0	0	0	0	59	15	30	3	6	49	20	40	2	4
56	5	5	0	0	2	178	18	36	0.5	1	59	0	0	0	0	0	0	0	0	0	1	0	72	17.5	35	0.5	1	62	18.5	37	0.5	1
56	7	7	0	0	1	178	18	36	0.5	1	75	0	0	0	0	0	0	0	0	0	1	0	81	17.5	35	0.5	1	66	18.5	37	0.5	1
57	5	5	0	0	2	178	18.5	37	0.5	1	62	0	0	0	0	0	1	0	0	0	0	1	59	18	36	0.5	1	62	19	38	0.5	1
57	7	7	0	0	1	178	18.5	37	0.5	1	66	0	0	0	0	0	1	0	0	0	0	1	75	18	36	0.5	1	66	19	38	0.5	1
58	5	5	0	0	2	178	19	38	0.5	1	62	0	0	0	0	0	0	0	0	0	1	0	62	18.5	37	0.5	1	56	19.5	39	0.5	1
58	7	7	0	0	1	178	19	38	0.5	1	66	0	0	0	0	0	0	0	0	0	1	0	66	18.5	37	0.5	1	77	19.5	39	0.5	1
59	5	5	0	0	2	178	19.5	39	0.5	1	56	0	0	0	0	0	1	0	0	0	0	1	62	19	38	0.5	1	56	20	40	0.5	1
59	7	7	0	0	1	178	19.5	39	0.5	1	77	0	0	0	0	0	1	0	0	0	0	1	66	19	38	0.5	1	77	20	40	0.5	1
62	1	1	0	0	4	179	20	40	2	4	49	0	0	0	0	0	0	0	0	0	0	0	70	18	36	2	4	56	22	44	1	2
62	5	5	0	0	2	179	20	40	0.5	1	56	0	0	0	0	0	0	0	0	0	1	0	56	19.5	39	0.5	1	67	20.5	41	0.5	1
62	7	7	0	0	1	179	20	40	0.5	1	77	0	0	0	0	0	0	0	0	0	1	0	77	19.5	39	0.5	1	72	20.5	41	0.5	1
