line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur
17	1	1	0	0	4	45	0	0	2	8	38	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	49	2	8	2	8
17	3	3	0	0	3	45	0	0	2	8	54	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	61	2	8	2	8
17	5	5	0	0	2	45	0	0	1	4	62	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	59	3	12	2	8
17	6	6	0	0	1	45	0	0	1	4	62	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	73	1	4	1	4
18	6	6	0	0	1	45	1	4	1	4	73	0	1	0	0	0	0	0	0	0	0	0	62	0	0	1	4	71	2	8	1	4
19	1	1	0	0	4	45	2	8	2	8	49	0	1	0	0	0	0	0	0	0	0	0	38	0	0	2	8	47	4	16	1.5	6
19	3	3	0	0	3	45	2	8	2	8	61	0	1	0	0	0	0	0	0	0	0	0	54	0	0	2	8	59	4	16	1.5	6
19	6	6	0	0	1	45	2	8	1	4	71	0	0	0	0	0	0	0	0	0	0	0	73	1	4	1	4	69	3	12	1	4
21	5	5	0	0	2	46	3	12	2	8	59	1	0	0	0	0	0	0	0	0	0	0	62	0	0	1	4	62	5	20	1	4
21	5	5	0	0	2	46	3	12	2	8	64	1	0	0	0	0	0	0	0	0	0	0	62	0	0	1	4	62	5	20	1	4
21	6	6	0	0	1	46	3	12	1	4	69	0	0	0	0	0	0	0	0	0	0	0	71	2	8	1	4	67	4	16	1	4
22	1	1	0	0	4	46	4	16	1.5	6	47	0	1	0	0	0	0	0	0	0	0	0	49	2	8	2	8	45	5.5	22	2	8
22	3	3	0	0	3	46	4	16	1.5	6	59	0	1	0	0	0	0	0	0	0	0	0	61	2	8	2	8	57	5.5	22	2	8
22	6	6	0	0	1	46	4	16	1	4	67	0	0	0	0	0	0	0	0	0	0	0	69	3	12	1	4	66	5	20	1	4
23	5	5	0	0	2	46	5	20	1	4	62	0	0	0	0	0	0	0	0	0	0	0	59	3	12	2	8	61	6	24	0.75	3
23	6	6	0	0	1	46	5	20	1	4	66	0	0	0	0	0	0	0	0	0	0	0	67	4	16	1	4	64	6	24	0.75	3
24	1	1	0	0	4	46	5.5	22	2	8	45	0	1	0	0	0	0	0	0	0	0	0	47	4	16	1.5	6	43	7.5	30	1.5	6
24	3	3	0	0	3	46	5.5	22	2	8	57	0	1	0	0	0	0	0	0	0	0	0	59	4	16	1.5	6	55	7.5	30	1.5	6
26	5	5	0	0	2	47	6	24	0.75	3	61	0	0	0	0	0	0	0	0	0	0	0	62	5	20	1	4	59	6.75	27	0.25	1
26	6	6	0	0	1	47	6	24	0.75	3	64	0	0	0	0	0	0	0	0	0	0	0	66	5	20	1	4	62	6.75	27	0.25	1
27	5	5	0	0	2	47	6.75	27	0.25	1	59	0	0	0	0	0	0	0	0	0	0	0	61	6	24	0.75	3	57	7	28	1	4
27	6	6	0	0	1	47	6.75	27	0.25	1	62	0	0	0	0	0	0	0	0	0	0	0	64	6	24	0.75	3	61	7	28	1	4
28	5	5	0	0	2	47	7	28	1	4	57	0	0	0	0	0	0	0	0	0	0	0	59	6.75	27	0.25	1	59	8	32	1	4
28	6	6	0	0	1	47	7	28	1	4	61	0	0	0	0	0	0	0	0	0	0	0	62	6.75	27	0.25	1	59	8	32	0.5	2
29	1	1	0	0	4	47	7.5	30	1.5	6	43	0	1	0	0	0	0	0	0	0	0	0	45	5.5	22	2	8	42	9	36	1	4
29	3	3	0	0	3	47	7.5	30	1.5	6	55	0	1	0	0	0	0	0	0	0	0	0	57	5.5	22	2	8	54	9	36	1	4
30	5	5	0	0	2	47	8	32	1	4	59	0	0	0	0	0	0	0	0	0	0	0	57	7	28	1	4	57	9	36	3	12
30	6	6	0	0	1	47	8	32	0.5	2	59	0	0	0	0	0	0	0	0	0	0	0	61	7	28	1	4	76	8.5	34	1.25	5
31	6	6	0	0	1	47	8.5	34	1.25	5	76	0	0	0	0	0	0	0	0	0	0	0	59	8	32	0.5	2	74	9.75	39	0.25	1
33	1	1	0	0	4	48	9	36	1	4	42	0	0	0	0	0	0	0	0	0	0	0	43	7.5	30	1.5	6	41	10	40	2	8
33	3	3	0	0	3	48	9	36	1	4	54	0	0	0	0	0	0	0	0	0	0	0	55	7.5	30	1.5	6	54	10	40	2	8
33	5	5	0	0	2	48	9	36	3	12	57	1	0	0	0	0	0	0	0	0	0	0	59	8	32	1	4	-1	-1	-1	-1	-1
33	5	5	0	0	2	48	9	36	3	12	62	1	0	0	0	0	0	0	0	0	0	0	59	8	32	1	4	-1	-1	-1	-1	-1
34	6	6	0	0	1	48	9.75	39	0.25	1	74	0	0	0	0	0	0	0	0	0	0	0	76	8.5	34	1.25	5	73	10	40	1	4
35	1	1	0	0	4	48	10	40	2	8	41	0	1	0	0	0	0	0	0	0	0	0	42	9	36	1	4	-1	-1	-1	-1	-1
35	3	3	0	0	3	48	10	40	2	8	54	0	1	0	0	0	0	0	0	0	0	0	54	9	36	1	4	-1	-1	-1	-1	-1
35	6	6	0	0	1	48	10	40	1	4	73	0	0	0	0	0	0	0	0	0	0	0	74	9.75	39	0.25	1	71	11	44	1	4
36	6	6	0	0	1	48	11	44	1	4	71	0	0	0	0	0	0	0	0	0	0	0	73	10	40	1	4	-1	-1	-1	-1	-1
