line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur
21	1	1	1	0	6	17	0	0	2	2310	56	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	53	2	2310	2	2310
21	2	1	2	0	6	17	0	0	1.33333	1540	45	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	42	1.33333	1540	1.33333	1540
21	3	2	1	0	5	17	0	0	0.363636	420	86	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	83	0.363636	420	0.363636	420
21	4	2	2	0	5	17	0	0	4	4620	73	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	4	2	2	0	5	17	0	0	4	4620	75	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
21	5	2	3	0	5	17	0	0	0.363636	420	73	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	72	0.363636	420	0.363636	420
21	7	4	0	0	4	17	0	0	0.8	924	68	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	66	0.8	924	0.8	924
21	8	5	0	0	3	17	0	0	2	2310	72	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	79	2	2310	2	2310
21	9	6	0	0	2	17	0	0	0.363636	420	73	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	72	0.363636	420	0.363636	420
21	11	8	0	0	1	17	0	0	0.571429	660	92	0	0	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	89	0.571429	660	0.571429	660
22	3	2	1	0	5	17	0.363636	420	0.363636	420	83	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0.363636	420	81	0.727273	840	0.363636	420
22	5	2	3	0	5	17	0.363636	420	0.363636	420	72	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0.363636	420	74	0.727273	840	0.363636	420
22	9	6	0	0	2	17	0.363636	420	0.363636	420	72	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0.363636	420	74	0.727273	840	0.363636	420
23	11	8	0	0	1	17	0.571429	660	0.571429	660	89	0	0	1	0	0	0	0	0	0	0	0	92	0	0	0.571429	660	84	1.14286	1320	0.571429	660
24	3	2	1	0	5	17	0.727273	840	0.363636	420	81	0	0	0	0	0	0	0	0	0	0	0	83	0.363636	420	0.363636	420	78	1.09091	1260	0.363636	420
24	5	2	3	0	5	17	0.727273	840	0.363636	420	74	0	0	0	0	0	0	0	0	0	0	0	72	0.363636	420	0.363636	420	76	1.09091	1260	0.363636	420
24	9	6	0	0	2	17	0.727273	840	0.363636	420	74	0	0	0	0	0	0	0	0	0	0	0	72	0.363636	420	0.363636	420	76	1.09091	1260	0.363636	420
25	7	4	0	0	4	17	0.8	924	0.8	924	66	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0.8	924	70	1.6	1848	0.8	924
26	3	2	1	0	5	17	1.09091	1260	0.363636	420	78	0	0	0	0	0	0	0	0	0	0	0	81	0.727273	840	0.363636	420	80	1.45455	1680	0.363636	420
26	5	2	3	0	5	17	1.09091	1260	0.363636	420	76	0	0	0	0	0	0	0	0	0	0	0	74	0.727273	840	0.363636	420	69	1.45455	1680	0.363636	420
26	9	6	0	0	2	17	1.09091	1260	0.363636	420	76	0	0	0	0	0	0	0	0	0	0	0	74	0.727273	840	0.363636	420	69	1.45455	1680	0.363636	420
27	11	8	0	0	1	17	1.14286	1320	0.571429	660	84	0	0	1	0	0	0	0	0	0	0	0	89	0.571429	660	0.571429	660	83	1.71429	1980	0.571429	660
28	2	1	2	0	6	17	1.33333	1540	1.33333	1540	42	0	0	0	0	0	0	0	0	0	0	0	45	0	0	1.33333	1540	36	2.66667	3080	1.33333	1540
29	3	2	1	0	5	17	1.45455	1680	0.363636	420	80	0	0	0	0	0	0	0	0	0	0	0	78	1.09091	1260	0.363636	420	82	1.81818	2100	0.363636	420
29	5	2	3	0	5	17	1.45455	1680	0.363636	420	69	0	0	0	0	0	0	0	0	0	0	0	76	1.09091	1260	0.363636	420	71	1.81818	2100	0.363636	420
29	9	6	0	0	2	17	1.45455	1680	0.363636	420	69	1	0	0	0	0	0	0	0	0	0	0	76	1.09091	1260	0.363636	420	71	1.81818	2100	0.363636	420
29	9	6	0	0	2	17	1.45455	1680	0.363636	420	78	1	0	0	0	0	0	0	0	0	0	0	76	1.09091	1260	0.363636	420	71	1.81818	2100	0.363636	420
30	7	4	0	0	4	17	1.6	1848	0.8	924	70	0	0	0	0	0	0	0	0	0	0	0	66	0.8	924	0.8	924	63	2.4	2772	0.8	924
31	11	8	0	0	1	17	1.71429	1980	0.571429	660	83	0	0	1	0	0	0	0	0	0	0	0	84	1.14286	1320	0.571429	660	88	2.28571	2640	0.571429	660
32	3	2	1	0	5	17	1.81818	2100	0.363636	420	82	0	0	0	0	0	0	0	0	0	0	0	80	1.45455	1680	0.363636	420	79	2.18182	2520	0.363636	420
32	5	2	3	0	5	17	1.81818	2100	0.363636	420	71	0	0	0	0	0	0	0	0	0	0	0	69	1.45455	1680	0.363636	420	72	2.18182	2520	0.363636	420
32	9	6	0	0	2	17	1.81818	2100	0.363636	420	71	0	0	0	0	0	0	0	0	0	0	0	69	1.45455	1680	0.363636	420	72	2.18182	2520	0.363636	420
33	1	1	1	0	6	17	2	2310	2	2310	53	1	0	0	0	0	0	0	0	0	0	0	56	0	0	2	2310	-1	-1	-1	-1	-1
33	1	1	1	0	6	17	2	2310	2	2310	58	1	0	0	0	0	0	0	0	0	0	0	56	0	0	2	2310	-1	-1	-1	-1	-1
33	8	5	0	0	3	17	2	2310	2	2310	79	0	0	0	0	0	0	0	0	0	0	0	72	0	0	2	2310	-1	-1	-1	-1	-1
34	3	2	1	0	5	17	2.18182	2520	0.363636	420	79	0	0	0	0	0	0	0	0	0	0	0	82	1.81818	2100	0.363636	420	76	2.54545	2940	0.363636	420
34	5	2	3	0	5	17	2.18182	2520	0.363636	420	72	0	0	0	0	0	0	0	0	0	0	0	71	1.81818	2100	0.363636	420	75	2.54545	2940	0.363636	420
34	9	6	0	0	2	17	2.18182	2520	0.363636	420	72	0	0	0	0	0	0	0	0	0	0	0	71	1.81818	2100	0.363636	420	75	2.54545	2940	0.363636	420
35	11	8	0	0	1	17	2.28571	2640	0.571429	660	88	0	0	1	0	0	0	0	0	0	0	0	83	1.71429	1980	0.571429	660	89	2.85714	3300	0.571429	660
36	7	4	0	0	4	17	2.4	2772	0.8	924	63	0	0	0	0	0	0	0	0	0	0	0	70	1.6	1848	0.8	924	61	3.2	3696	0.8	924
37	3	2	1	0	5	17	2.54545	2940	0.363636	420	76	0	0	0	0	0	0	0	0	0	0	0	79	2.18182	2520	0.363636	420	84	2.90909	3360	0.363636	420
