line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur
18	1	1	1	0	3	41	0	0	0.25	3	57	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	55	0.25	3	0.25	3
18	1	1	1	0	3	41	0	0	0.25	3	58	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	55	0.25	3	0.25	3
18	1	1	1	0	3	41	0	0	0.25	3	62	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	55	0.25	3	0.25	3
18	2	1	2	0	3	41	0	0	0.5	6	43	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	31	0.5	6	0.5	6
18	2	1	2	0	3	41	0	0	0.5	6	50	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	31	0.5	6	0.5	6
18	5	4	0	0	1	41	0	0	0.5	6	67	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	69	0.5	6	0.5	6
19	1	1	1	0	3	41	0.25	3	0.25	3	55	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0.25	3	43	0.5	6	0.25	3
20	1	1	1	0	3	41	0.5	6	0.25	3	43	0	0	0	0	0	0	0	0	0	0	0	55	0.25	3	0.25	3	57	0.75	9	0.5	6
20	2	1	2	0	3	41	0.5	6	0.5	6	31	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0.5	6	31	3.5	42	0.5	6
20	5	4	0	0	1	41	0.5	6	0.5	6	69	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0.5	6	70	1	12	0.5	6
21	1	1	1	0	3	41	0.75	9	0.5	6	57	1	0	0	0	0	0	0	0	0	0	0	43	0.5	6	0.25	3	55	1.25	15	0.25	3
21	1	1	1	0	3	41	0.75	9	0.5	6	58	1	0	0	0	0	0	0	0	0	0	0	43	0.5	6	0.25	3	55	1.25	15	0.25	3
21	1	1	1	0	3	41	0.75	9	0.5	6	62	1	0	0	0	0	0	0	0	0	0	0	43	0.5	6	0.25	3	55	1.25	15	0.25	3
22	5	4	0	0	1	41	1	12	0.5	6	70	0	0	0	0	0	0	0	0	0	0	0	69	0.5	6	0.5	6	72	1.5	18	0.5	6
23	1	1	1	0	3	41	1.25	15	0.25	3	55	0	0	0	0	0	0	0	0	0	0	0	57	0.75	9	0.5	6	43	1.5	18	0.5	6
24	1	1	1	0	3	41	1.5	18	0.5	6	43	1	0	0	0	0	0	0	0	0	0	0	55	1.25	15	0.25	3	57	2	24	0.25	3
24	1	1	1	0	3	41	1.5	18	0.5	6	50	1	0	0	0	0	0	0	0	0	0	0	55	1.25	15	0.25	3	57	2	24	0.25	3
24	5	4	0	0	1	41	1.5	18	0.5	6	72	0	0	0	0	0	0	0	0	0	0	0	70	1	12	0.5	6	74	2	24	1	12
25	1	1	1	0	3	41	2	24	0.25	3	57	1	0	0	0	0	0	0	0	0	0	0	43	1.5	18	0.5	6	55	2.25	27	0.5	6
25	1	1	1	0	3	41	2	24	0.25	3	58	1	0	0	0	0	0	0	0	0	0	0	43	1.5	18	0.5	6	55	2.25	27	0.5	6
25	1	1	1	0	3	41	2	24	0.25	3	62	1	0	0	0	0	0	0	0	0	0	0	43	1.5	18	0.5	6	55	2.25	27	0.5	6
25	5	4	0	0	1	41	2	24	1	12	74	0	0	0	0	0	0	0	0	0	0	0	72	1.5	18	0.5	6	74	3	36	0.5	6
26	1	1	1	0	3	41	2.25	27	0.5	6	55	0	0	0	0	0	0	0	0	0	0	0	57	2	24	0.25	3	43	2.75	33	0.25	3
27	1	1	1	0	3	41	2.75	33	0.25	3	43	1	0	0	0	0	0	0	0	0	0	0	55	2.25	27	0.5	6	57	4	48	0.25	3
27	1	1	1	0	3	41	2.75	33	0.25	3	50	1	0	0	0	0	0	0	0	0	0	0	55	2.25	27	0.5	6	57	4	48	0.25	3
28	3	2	0	0	2	41	3	36	0.5	6	69	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	69	7	84	0.5	6
28	3	2	0	0	2	41	3	36	0.5	6	70	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	69	7	84	0.5	6
28	3	2	0	0	2	41	3	36	0.5	6	74	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	69	7	84	0.5	6
28	5	4	0	0	1	41	3	36	0.5	6	74	0	0	0	0	0	0	0	0	0	0	0	74	2	24	1	12	74	3.5	42	0.5	6
29	2	1	2	0	3	41	3.5	42	0.5	6	31	1	0	0	0	0	0	0	0	0	0	0	31	0.5	6	0.5	6	31	4.5	54	0.5	6
29	2	1	2	0	3	41	3.5	42	0.5	6	43	1	0	0	0	0	0	0	0	0	0	0	31	0.5	6	0.5	6	31	4.5	54	0.5	6
29	5	4	0	0	1	41	3.5	42	0.5	6	74	0	0	0	0	0	0	0	0	0	0	0	74	3	36	0.5	6	69	4	48	0.5	6
31	1	1	1	0	3	42	4	48	0.25	3	57	1	0	0	0	0	0	0	0	0	0	0	43	2.75	33	0.25	3	55	4.25	51	0.25	3
31	1	1	1	0	3	42	4	48	0.25	3	58	1	0	0	0	0	0	0	0	0	0	0	43	2.75	33	0.25	3	55	4.25	51	0.25	3
31	1	1	1	0	3	42	4	48	0.25	3	62	1	0	0	0	0	0	0	0	0	0	0	43	2.75	33	0.25	3	55	4.25	51	0.25	3
31	5	4	0	0	1	42	4	48	0.5	6	69	0	0	0	0	0	0	0	0	0	0	0	74	3.5	42	0.5	6	69	4.5	54	0.5	6
32	1	1	1	0	3	42	4.25	51	0.25	3	55	0	0	0	0	0	0	0	0	0	0	0	57	4	48	0.25	3	43	4.5	54	0.25	3
33	1	1	1	0	3	42	4.5	54	0.25	3	43	0	0	0	0	0	0	0	0	0	0	0	55	4.25	51	0.25	3	57	4.75	57	0.5	6
33	2	1	2	0	3	42	4.5	54	0.5	6	31	0	0	0	0	0	0	0	0	0	0	0	31	3.5	42	0.5	6	31	7.5	90	0.5	6
33	5	4	0	0	1	42	4.5	54	0.5	6	69	0	0	0	0	0	0	0	0	0	0	0	69	4	48	0.5	6	72	5	60	0.333333	4
34	1	1	1	0	3	42	4.75	57	0.5	6	57	1	0	0	0	0	0	0	0	0	0	0	43	4.5	54	0.25	3	55	5.25	63	0.25	3
34	1	1	1	0	3	42	4.75	57	0.5	6	58	1	0	0	0	0	0	0	0	0	0	0	43	4.5	54	0.25	3	55	5.25	63	0.25	3
34	1	1	1	0	3	42	4.75	57	0.5	6	62	1	0	0	0	0	0	0	0	0	0	0	43	4.5	54	0.25	3	55	5.25	63	0.25	3
35	5	4	0	0	1	42	5	60	0.333333	4	72	0	0	0	0	0	0	0	0	0	0	0	69	4.5	54	0.5	6	72	5.33333	64	0.333333	4
36	1	1	1	0	3	42	5.25	63	0.25	3	55	0	0	0	0	0	0	0	0	0	0	0	57	4.75	57	0.5	6	43	5.5	66	0.5	6
37	5	4	0	0	1	42	5.33333	64	0.333333	4	72	0	0	0	0	0	0	0	0	0	0	0	72	5	60	0.333333	4	72	5.66667	68	0.333333	4
38	1	1	1	0	3	42	5.5	66	0.5	6	43	1	0	0	0	0	0	0	0	0	0	0	55	5.25	63	0.25	3	57	6	72	0.25	3
38	1	1	1	0	3	42	5.5	66	0.5	6	50	1	0	0	0	0	0	0	0	0	0	0	55	5.25	63	0.25	3	57	6	72	0.25	3
39	5	4	0	0	1	42	5.66667	68	0.333333	4	72	0	0	0	0	0	0	0	0	0	0	0	72	5.33333	64	0.333333	4	70	6	72	1	12
