line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur	note
"19"	"1"	"1"	"0"	"1"	"16"	"23"	"0"	"0"	"1.5"	"12"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"46"	"1.5"	"12"	"1"	"8"	"1"
"19"	"2"	"2"	"0"	"1"	"15"	"23"	"0"	"0"	"1.5"	"12"	"36"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"46"	"1.5"	"12"	"1"	"8"	"1"
"19"	"2"	"2"	"0"	"1"	"15"	"23"	"0"	"0"	"1.5"	"12"	"44"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"46"	"1.5"	"12"	"1"	"8"	"1"
"19"	"3"	"3"	"0"	"1"	"14"	"23"	"0"	"0"	"1.5"	"12"	"49"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"57"	"1.5"	"12"	"1"	"8"	"1"
"19"	"3"	"3"	"0"	"1"	"14"	"23"	"0"	"0"	"1.5"	"12"	"55"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"57"	"1.5"	"12"	"1"	"8"	"1"
"19"	"4"	"4"	"0"	"1"	"13"	"23"	"0"	"0"	"3"	"24"	"56"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"56"	"3.5"	"28"	"3"	"24"	"0"
"19"	"4"	"4"	"0"	"1"	"13"	"23"	"0"	"0"	"3"	"24"	"62"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"56"	"3.5"	"28"	"3"	"24"	"1"
"19"	"6"	"6"	"0"	"1"	"12"	"23"	"0"	"0"	"3"	"24"	"63"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"63"	"3.5"	"28"	"3"	"24"	"0"
"19"	"6"	"6"	"0"	"1"	"12"	"23"	"0"	"0"	"3"	"24"	"69"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"63"	"3.5"	"28"	"3"	"24"	"1"
"19"	"8"	"8"	"0"	"2"	"11"	"23"	"0"	"0"	"1"	"8"	"62"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"78"	"1"	"8"	"2"	"16"	"1"
"19"	"8"	"8"	"0"	"2"	"11"	"23"	"0"	"0"	"1"	"8"	"63"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"78"	"1"	"8"	"2"	"16"	"1"
