line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur	note
"18"	"1"	"1"	"0"	"1"	"2"	"10"	"0"	"0"	"0.25"	"1"	"42"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"57"	"0.25"	"1"	"0.25"	"1"	"0"
"19"	"1"	"1"	"0"	"1"	"2"	"10"	"0.25"	"1"	"0.25"	"1"	"57"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"42"	"0"	"0"	"0.25"	"1"	"51"	"0.5"	"2"	"0.25"	"1"	"0"
"20"	"1"	"1"	"0"	"1"	"2"	"10"	"0.5"	"2"	"0.25"	"1"	"51"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"57"	"0.25"	"1"	"0.25"	"1"	"48"	"0.75"	"3"	"0.25"	"1"	"0"
"20"	"2"	"2"	"0"	"2"	"1"	"10"	"0.5"	"2"	"0.25"	"1"	"81"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"74"	"0.75"	"3"	"2"	"8"	"0"
"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"21"	"1"	"1"	"0"	"1"	"2"	"10"	"0.75"	"3"	"0.25"	"1"	"48"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"51"	"0.5"	"2"	"0.25"	"1"	"59"	"1"	"4"	"0.25"	"1"	"0"
"21"	"2"	"2"	"0"	"2"	"1"	"10"	"0.75"	"3"	"2"	"8"	"74"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"81"	"0.5"	"2"	"0.25"	"1"	"73"	"2.75"	"11"	"1.5"	"6"	"0"
"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"22"	"1"	"1"	"0"	"1"	"2"	"10"	"1"	"4"	"0.25"	"1"	"59"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"48"	"0.75"	"3"	"0.25"	"1"	"56"	"1.25"	"5"	"0.25"	"1"	"0"
"23"	"1"	"1"	"0"	"1"	"2"	"10"	"1.25"	"5"	"0.25"	"1"	"56"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"59"	"1"	"4"	"0.25"	"1"	"42"	"1.5"	"6"	"0.25"	"1"	"0"
"24"	"1"	"1"	"0"	"1"	"2"	"10"	"1.5"	"6"	"0.25"	"1"	"42"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"56"	"1.25"	"5"	"0.25"	"1"	"57"	"1.75"	"7"	"0.25"	"1"	"0"
"25"	"1"	"1"	"0"	"1"	"2"	"10"	"1.75"	"7"	"0.25"	"1"	"57"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"42"	"1.5"	"6"	"0.25"	"1"	"51"	"2"	"8"	"0.25"	"1"	"0"
"26"	"1"	"1"	"0"	"1"	"2"	"10"	"2"	"8"	"0.25"	"1"	"51"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"57"	"1.75"	"7"	"0.25"	"1"	"48"	"2.25"	"9"	"0.25"	"1"	"0"
"27"	"1"	"1"	"0"	"1"	"2"	"10"	"2.25"	"9"	"0.25"	"1"	"48"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"51"	"2"	"8"	"0.25"	"1"	"59"	"2.5"	"10"	"0.25"	"1"	"0"
"28"	"1"	"1"	"0"	"1"	"2"	"10"	"2.5"	"10"	"0.25"	"1"	"59"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"48"	"2.25"	"9"	"0.25"	"1"	"56"	"2.75"	"11"	"0.25"	"1"	"0"
"29"	"1"	"1"	"0"	"1"	"2"	"10"	"2.75"	"11"	"0.25"	"1"	"56"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"59"	"2.5"	"10"	"0.25"	"1"	"42"	"3"	"12"	"0.25"	"1"	"0"
"29"	"2"	"2"	"0"	"2"	"1"	"10"	"2.75"	"11"	"1.5"	"6"	"73"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"74"	"0.75"	"3"	"2"	"8"	"65"	"4.25"	"17"	"0.75"	"3"	"0"
"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"30"	"1"	"1"	"0"	"1"	"2"	"10"	"3"	"12"	"0.25"	"1"	"42"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"56"	"2.75"	"11"	"0.25"	"1"	"57"	"3.25"	"13"	"0.25"	"1"	"0"
"31"	"1"	"1"	"0"	"1"	"2"	"10"	"3.25"	"13"	"0.25"	"1"	"57"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"42"	"3"	"12"	"0.25"	"1"	"51"	"3.5"	"14"	"0.25"	"1"	"0"
"32"	"1"	"1"	"0"	"1"	"2"	"10"	"3.5"	"14"	"0.25"	"1"	"51"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"57"	"3.25"	"13"	"0.25"	"1"	"48"	"3.75"	"15"	"0.25"	"1"	"0"
"33"	"1"	"1"	"0"	"1"	"2"	"10"	"3.75"	"15"	"0.25"	"1"	"48"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"51"	"3.5"	"14"	"0.25"	"1"	"59"	"4"	"16"	"0.25"	"1"	"0"
"34"	"1"	"1"	"0"	"1"	"2"	"10"	"4"	"16"	"0.25"	"1"	"59"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"48"	"3.75"	"15"	"0.25"	"1"	"56"	"4.25"	"17"	"0.25"	"1"	"0"
"35"	"1"	"1"	"0"	"1"	"2"	"10"	"4.25"	"17"	"0.25"	"1"	"56"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"59"	"4"	"16"	"0.25"	"1"	"42"	"4.5"	"18"	"0.25"	"1"	"0"
"35"	"2"	"2"	"0"	"2"	"1"	"10"	"4.25"	"17"	"0.75"	"3"	"65"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"73"	"2.75"	"11"	"1.5"	"6"	"68"	"5"	"20"	"2"	"8"	"0"
"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"37"	"1"	"1"	"0"	"1"	"2"	"11"	"4.5"	"18"	"0.25"	"1"	"42"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"56"	"4.25"	"17"	"0.25"	"1"	"57"	"4.75"	"19"	"0.25"	"1"	"0"
