line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur	note
"17"	"1"	"1"	"0"	"0"	"2"	"25"	"0"	"0"	"0.5"	"2"	"37"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"53"	"0.5"	"2"	"0.5"	"2"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"17"	"1"	"1"	"0"	"0"	"2"	"25"	"0"	"0"	"0.5"	"2"	"49"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"53"	"0.5"	"2"	"0.5"	"2"	"1"
"17"	"2"	"2"	"0"	"0"	"1"	"25"	"0"	"0"	"0.5"	"2"	"73"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"69"	"0.75"	"3"	"0.25"	"1"	"1"
"17"	"2"	"2"	"0"	"0"	"1"	"25"	"0"	"0"	"0.5"	"2"	"85"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"69"	"0.75"	"3"	"0.25"	"1"	"1"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"18"	"1"	"1"	"0"	"0"	"2"	"25"	"0.5"	"2"	"0.5"	"2"	"53"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"37"	"0"	"0"	"0.5"	"2"	"35"	"1"	"4"	"0.5"	"2"	"1"
"18"	"1"	"1"	"0"	"0"	"2"	"25"	"0.5"	"2"	"0.5"	"2"	"56"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"37"	"0"	"0"	"0.5"	"2"	"35"	"1"	"4"	"0.5"	"2"	"1"
"18"	"1"	"1"	"0"	"0"	"2"	"25"	"0.5"	"2"	"0.5"	"2"	"61"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"37"	"0"	"0"	"0.5"	"2"	"35"	"1"	"4"	"0.5"	"2"	"1"
"19"	"2"	"2"	"0"	"0"	"1"	"25"	"0.75"	"3"	"0.25"	"1"	"69"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"73"	"0"	"0"	"0.5"	"2"	"70"	"1"	"4"	"0.25"	"1"	"1"
"19"	"2"	"2"	"0"	"0"	"1"	"25"	"0.75"	"3"	"0.25"	"1"	"81"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"73"	"0"	"0"	"0.5"	"2"	"70"	"1"	"4"	"0.25"	"1"	"1"
"20"	"1"	"1"	"0"	"0"	"2"	"25"	"1"	"4"	"0.5"	"2"	"35"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"53"	"0.5"	"2"	"0.5"	"2"	"52"	"1.5"	"6"	"0.5"	"2"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"20"	"1"	"1"	"0"	"0"	"2"	"25"	"1"	"4"	"0.5"	"2"	"47"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"53"	"0.5"	"2"	"0.5"	"2"	"52"	"1.5"	"6"	"0.5"	"2"	"1"
"20"	"2"	"2"	"0"	"0"	"1"	"25"	"1"	"4"	"0.25"	"1"	"70"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"69"	"0.75"	"3"	"0.25"	"1"	"71"	"1.25"	"5"	"0.25"	"1"	"1"
"20"	"2"	"2"	"0"	"0"	"1"	"25"	"1"	"4"	"0.25"	"1"	"82"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"69"	"0.75"	"3"	"0.25"	"1"	"71"	"1.25"	"5"	"0.25"	"1"	"1"
"21"	"2"	"2"	"0"	"0"	"1"	"25"	"1.25"	"5"	"0.25"	"1"	"71"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"70"	"1"	"4"	"0.25"	"1"	"72"	"1.5"	"6"	"0.5"	"2"	"1"
"21"	"2"	"2"	"0"	"0"	"1"	"25"	"1.25"	"5"	"0.25"	"1"	"83"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"70"	"1"	"4"	"0.25"	"1"	"72"	"1.5"	"6"	"0.5"	"2"	"1"
"23"	"1"	"1"	"0"	"0"	"2"	"26"	"1.5"	"6"	"0.5"	"2"	"52"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"35"	"1"	"4"	"0.5"	"2"	"33"	"2"	"8"	"0.5"	"2"	"1"
"23"	"1"	"1"	"0"	"0"	"2"	"26"	"1.5"	"6"	"0.5"	"2"	"57"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"35"	"1"	"4"	"0.5"	"2"	"33"	"2"	"8"	"0.5"	"2"	"1"
"23"	"1"	"1"	"0"	"0"	"2"	"26"	"1.5"	"6"	"0.5"	"2"	"60"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"35"	"1"	"4"	"0.5"	"2"	"33"	"2"	"8"	"0.5"	"2"	"1"
"23"	"2"	"2"	"0"	"0"	"1"	"26"	"1.5"	"6"	"0.5"	"2"	"72"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"71"	"1.25"	"5"	"0.25"	"1"	"70"	"2.25"	"9"	"0.25"	"1"	"1"
"23"	"2"	"2"	"0"	"0"	"1"	"26"	"1.5"	"6"	"0.5"	"2"	"84"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"71"	"1.25"	"5"	"0.25"	"1"	"70"	"2.25"	"9"	"0.25"	"1"	"1"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"24"	"1"	"1"	"0"	"0"	"2"	"26"	"2"	"8"	"0.5"	"2"	"33"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"52"	"1.5"	"6"	"0.5"	"2"	"54"	"2.5"	"10"	"0.5"	"2"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"
"24"	"1"	"1"	"0"	"0"	"2"	"26"	"2"	"8"	"0.5"	"2"	"45"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"52"	"1.5"	"6"	"0.5"	"2"	"54"	"2.5"	"10"	"0.5"	"2"	"1"
"25"	"2"	"2"	"0"	"0"	"1"	"26"	"2.25"	"9"	"0.25"	"1"	"70"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"72"	"1.5"	"6"	"0.5"	"2"	"71"	"2.5"	"10"	"0.25"	"1"	"1"
"25"	"2"	"2"	"0"	"0"	"1"	"26"	"2.25"	"9"	"0.25"	"1"	"82"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"72"	"1.5"	"6"	"0.5"	"2"	"71"	"2.5"	"10"	"0.25"	"1"	"1"
"26"	"1"	"1"	"0"	"0"	"2"	"26"	"2.5"	"10"	"0.5"	"2"	"54"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"33"	"2"	"8"	"0.5"	"2"	"-1"	"-1"	"-1"	"-1"	"-1"	"1"
"26"	"1"	"1"	"0"	"0"	"2"	"26"	"2.5"	"10"	"0.5"	"2"	"59"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"33"	"2"	"8"	"0.5"	"2"	"-1"	"-1"	"-1"	"-1"	"-1"	"1"
"26"	"1"	"1"	"0"	"0"	"2"	"26"	"2.5"	"10"	"0.5"	"2"	"63"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"33"	"2"	"8"	"0.5"	"2"	"-1"	"-1"	"-1"	"-1"	"-1"	"1"
"26"	"2"	"2"	"0"	"0"	"1"	"26"	"2.5"	"10"	"0.25"	"1"	"71"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"70"	"2.25"	"9"	"0.25"	"1"	"72"	"2.75"	"11"	"0.25"	"1"	"1"
"26"	"2"	"2"	"0"	"0"	"1"	"26"	"2.5"	"10"	"0.25"	"1"	"83"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"70"	"2.25"	"9"	"0.25"	"1"	"72"	"2.75"	"11"	"0.25"	"1"	"1"
"27"	"2"	"2"	"0"	"0"	"1"	"26"	"2.75"	"11"	"0.25"	"1"	"72"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"71"	"2.5"	"10"	"0.25"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1"
"27"	"2"	"2"	"0"	"0"	"1"	"26"	"2.75"	"11"	"0.25"	"1"	"84"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"71"	"2.5"	"10"	"0.25"	"1"	"-1"	"-1"	"-1"	"-1"	"-1"	"1"
