line	field	track	subtrack	group	staff	measure	qstart	tstart	qdur	tdur	pitch	chord	accent	marcato	sforzando	tenuto	staccato	trill	mordent	turn	sslur	eslur	ppitch	pqstart	ptstart	pqdur	ptdur	npitch	nqstart	ntstart	nqdur	ntdur	note
"18"	"1"	"1"	"0"	"0"	"8"	"288"	"0"	"0"	"1"	"6"	"69"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"69"	"3"	"18"	"1"	"6"	"1"
"18"	"3"	"3"	"0"	"0"	"7"	"288"	"0"	"0"	"1"	"6"	"67"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"67"	"2"	"12"	"0.333333"	"2"	"1"
"18"	"5"	"5"	"0"	"0"	"6"	"288"	"0"	"0"	"4"	"24"	"65"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"62"	"4"	"24"	"4"	"24"	"1"
"18"	"7"	"7"	"0"	"0"	"5"	"288"	"0"	"0"	"1"	"6"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"45"	"1"	"6"	"1"	"6"	"1"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"19"	"7"	"7"	"0"	"0"	"5"	"288"	"1"	"6"	"1"	"6"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"45"	"0"	"0"	"1"	"6"	"53"	"4"	"24"	"1"	"6"	"1"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"3"	"3"	"0"	"0"	"7"	"288"	"2"	"12"	"0.333333"	"2"	"67"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"67"	"0"	"0"	"1"	"6"	"67"	"2.33333"	"14"	"0.333333"	"2"	"1"
"20"	"9"	"9"	"0"	"0"	"4"	"288"	"2"	"12"	"1"	"6"	"77"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"77"	"3"	"18"	"1"	"6"	"1"
"20"	"11"	"11"	"0"	"0"	"3"	"288"	"2"	"12"	"1"	"6"	"77"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"77"	"3"	"18"	"1"	"6"	"1"
"20"	"11"	"11"	"0"	"0"	"3"	"288"	"2"	"12"	"1"	"6"	"84"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"77"	"3"	"18"	"1"	"6"	"1"
"20"	"13"	"13"	"0"	"0"	"2"	"288"	"2"	"12"	"1"	"6"	"81"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"81"	"3"	"18"	"1"	"6"	"1"
"20"	"13"	"13"	"0"	"0"	"2"	"288"	"2"	"12"	"1"	"6"	"89"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"-1"	"-1"	"-1"	"-1"	"81"	"3"	"18"	"1"	"6"	"1"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"21"	"3"	"3"	"0"	"0"	"7"	"288"	"2.33333"	"14"	"0.333333"	"2"	"67"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"67"	"2"	"12"	"0.333333"	"2"	"67"	"2.66667"	"16"	"0.333333"	"2"	"1"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"22"	"3"	"3"	"0"	"0"	"7"	"288"	"2.66667"	"16"	"0.333333"	"2"	"67"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"67"	"2.33333"	"14"	"0.333333"	"2"	"67"	"3"	"18"	"1"	"6"	"1"
"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"23"	"1"	"1"	"0"	"0"	"8"	"288"	"3"	"18"	"1"	"6"	"69"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"69"	"0"	"0"	"1"	"6"	"65"	"6"	"36"	"2"	"12"	"1"
"23"	"3"	"3"	"0"	"0"	"7"	"288"	"3"	"18"	"1"	"6"	"67"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"67"	"2.66667"	"16"	"0.333333"	"2"	"67"	"4"	"24"	"1"	"6"	"1"
